trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-US500_HIST-1645207200:2,trend-ea-v1-US500_HIST-1645207200,US500_HIST,BREAKOUT,SELL,2022-02-18 19:00:00+00:00,2022-02-18 21:24:19+00:00,1.0,4338.0,4361.5,-2703.0,0.0,0.0,15.4071428571,41.1114385877,3.0,TrendDown,NormalVolatility,2.0,5000.0,1576.0,-2703.0,2022-02-18 20:18:11+00:00,-2703.0,EXPERT,3.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7580645161,5.0,2.4052777777777776,Fri,NewYork,Fri,NewYork,-0.5406,0.3152,-0.5406,True,2.7151015228426396,1.3030555555555556,1.1022222222222222,-0.8558,False,False,False,False,True,ATR_14.03-24.99,ADX_40.09-41.75,HOLD_H_2.158-5.165,MFE_821.3-3527,MAE_-2716--1987,GIVEBACK_1.018-3.555
trend-ea-v1-US500_HIST-1646726400:4,trend-ea-v1-US500_HIST-1646726400,US500_HIST,BREAKOUT,SELL,2022-03-08 09:00:00+00:00,2022-03-08 10:12:58+00:00,1.0,4157.1,4189.3,-3716.0,0.0,0.0,20.6214285714,40.087650328,4.0,TrendDown,NormalVolatility,2.0,4986.485,1512.0,-3716.0,2022-03-08 09:16:03+00:00,-3716.0,EXPERT,4.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7796610169,5.0,1.2161111111111111,Tue,London,Tue,London,-0.7452143142915301,0.3032196025857894,-0.7452143142915301,True,3.4576719576719577,0.2675,0.9486111111111111,-1.0484339168773196,False,False,False,False,True,ATR_14.03-24.99,ADX_40.09-41.75,HOLD_H_0.449-2.158,MFE_821.3-3527,MAE_-3730--2716,GIVEBACK_1.018-3.555
trend-ea-v1-US500_HIST-1646924400:6,trend-ea-v1-US500_HIST-1646924400,US500_HIST,BREAKOUT,SELL,2022-03-10 16:00:00+00:00,2022-03-10 16:56:46+00:00,1.0,4221.6,4243.5,-2545.0,0.0,0.0,14.5785714286,43.1253196807,4.0,TrendDown,LowVolatility,2.0,4967.905,244.0,-2568.0,2022-03-10 16:02:52+00:00,-2568.0,EXPERT,3.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7551724138,5.0,0.9461111111111111,Thu,London_NewYork_Overlap,Thu,London_NewYork_Overlap,-0.5122883791054781,0.04911527092406155,-0.5169180972663527,True,11.430327868852459,0.04777777777777778,0.8983333333333333,-0.5660333681904143,False,False,False,False,True,ATR_14.03-24.99,ADX_41.75-45.05,HOLD_H_0.449-2.158,MFE_-37-821.3,MAE_-2716--1987,GIVEBACK_3.555-27.95
trend-ea-v1-US500_HIST-1648119600:8,trend-ea-v1-US500_HIST-1648119600,US500_HIST,PULLBACK,BUY,2022-03-24 12:00:00+00:00,2022-03-24 16:34:16+00:00,2.0,4480.5,4465.7,-3608.0,0.0,0.0,9.3928571429,41.7735582066,6.0,TrendDown,NormalVolatility,2.0,4955.18,1363.0,-3730.0,2022-03-24 14:09:26+00:00,-3730.0,EXPERT,3.0,24.0,,,,,,,,,EarlyAdverseConfirmed,0.7628865979,5.0,4.571111111111111,Thu,London,Thu,London_NewYork_Overlap,-0.7281269297987156,0.2750656888347144,-0.7527476297531068,True,3.6471019809244316,2.1572222222222224,2.4138888888888888,-1.027813318587821,False,False,False,False,True,ATR_7.706-12.06,ADX_41.75-45.05,HOLD_H_2.158-5.165,MFE_821.3-3527,MAE_-3730--2716,GIVEBACK_3.555-27.95
trend-ea-v1-US500_HIST-1648162800:10,trend-ea-v1-US500_HIST-1648162800,US500_HIST,BREAKOUT,BUY,2022-03-25 01:00:05+00:00,2022-03-25 18:27:53+00:00,1.0,4521.2,4499.2,-2679.0,0.0,0.0,14.3857142857,40.5715666654,4.0,TrendUp,NormalVolatility,2.0,4937.14,2792.0,-2691.0,2022-03-25 17:43:11+00:00,-2691.0,EXPERT,5.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7612456747,5.0,17.463333333333335,Fri,Tokyo,Fri,NewYork,-0.5426218417950472,0.5655095865217514,-0.5450523987571751,True,1.9595272206303724,16.718333333333334,0.745,-1.1105619852789266,False,False,False,False,True,ATR_14.03-24.99,ADX_40.09-41.75,HOLD_H_5.165-21.61,MFE_821.3-3527,MAE_-2716--1987,GIVEBACK_1.018-3.555
trend-ea-v1-US500_HIST-1648555200:12,trend-ea-v1-US500_HIST-1648555200,US500_HIST,BREAKOUT,BUY,2022-03-29 13:00:00+00:00,2022-03-29 16:32:00+00:00,2.0,4593.0,4623.6,7514.0,0.0,0.0,7.7071428571,50.2222733582,6.0,TrendUp,LowVolatility,2.0,4923.745,7465.0,-1952.0,2022-03-29 16:31:59+00:00,7465.0,TP,3.0,25.0,,,,,,,,,,,,3.533333333333333,Tue,London_NewYork_Overlap,Tue,London_NewYork_Overlap,1.5260741569679177,1.5161223824548185,-0.39644620101162836,False,-0.006563965170797053,3.5330555555555554,0.0002777777777777778,0.0,False,False,False,False,False,ATR_7.706-12.06,ADX_45.05-54.87,HOLD_H_2.158-5.165,MFE_3527-9395,MAE_-1987--26,GIVEBACK_-0.01049-1.018
trend-ea-v1-US500_HIST-1648591200:14,trend-ea-v1-US500_HIST-1648591200,US500_HIST,BREAKOUT,BUY,2022-03-29 23:00:00+00:00,2022-03-30 15:23:25+00:00,1.0,4632.4,4607.6,-3021.0,0.0,0.0,16.1642857143,53.5626871195,3.0,TrendUp,NormalVolatility,2.0,4961.315,-37.0,-3045.0,2022-03-29 23:00:00+00:00,-3045.0,EXPERT,4.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7678018576,5.0,16.39027777777778,Tue,Tokyo,Wed,London_NewYork_Overlap,-0.6089111455329888,-0.00745770022665362,-0.6137485727070344,False,,0.0,16.39027777777778,-0.6062908724803807,False,False,False,False,True,ATR_14.03-24.99,ADX_45.05-54.87,HOLD_H_5.165-21.61,MFE_-37-821.3,MAE_-3730--2716,
trend-ea-v1-US500_HIST-1649109600:16,trend-ea-v1-US500_HIST-1649109600,US500_HIST,BREAKOUT,BUY,2022-04-04 23:00:00+00:00,2022-04-05 16:30:01+00:00,1.0,4587.5,4569.0,-2272.0,0.0,0.0,11.9785714286,42.3399446198,3.0,TrendUp,NormalVolatility,2.0,4946.21,774.0,-2334.0,2022-04-05 10:36:00+00:00,-2334.0,EXPERT,3.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7551020408,5.0,17.50027777777778,Mon,Tokyo,Tue,London_NewYork_Overlap,-0.4593415968994442,0.15648344894373672,-0.471876446814834,True,3.9354005167958657,11.6,5.900277777777778,-0.6283598957585707,False,False,False,False,True,ATR_7.706-12.06,ADX_41.75-45.05,HOLD_H_5.165-21.61,MFE_-37-821.3,MAE_-2716--1987,GIVEBACK_3.555-27.95
trend-ea-v1-US500_HIST-1649919600:18,trend-ea-v1-US500_HIST-1649919600,US500_HIST,BREAKOUT,BUY,2022-04-14 08:00:18+00:00,2022-04-14 12:50:25+00:00,1.0,4458.9,4442.8,-2019.0,0.0,0.0,10.3357142857,53.1134233027,4.0,TrendUp,NormalVolatility,2.0,4934.85,389.0,-2056.0,2022-04-14 08:46:27+00:00,-2056.0,EXPERT,4.0,13.0,,,,,,,,,EarlyAdverseConfirmed,0.7740384615,5.0,4.835277777777778,Thu,London,Thu,London,-0.4091309766254293,0.07882711733892621,-0.41662867159082845,True,6.190231362467866,0.7691666666666667,4.066111111111111,-0.49545578892975467,False,False,False,False,True,ATR_7.706-12.06,ADX_45.05-54.87,HOLD_H_2.158-5.165,MFE_-37-821.3,MAE_-2716--1987,GIVEBACK_3.555-27.95
trend-ea-v1-US500_HIST-1650996000:20,trend-ea-v1-US500_HIST-1650996000,US500_HIST,BREAKOUT,SELL,2022-04-26 19:00:01+00:00,2022-04-26 19:27:01+00:00,1.0,4208.2,4232.2,-3060.0,0.0,0.0,15.4214285714,43.2488000783,5.0,TrendDown,NormalVolatility,2.0,4924.755,0.0,-3060.0,2022-04-26 19:00:11+00:00,-3060.0,EXPERT,3.0,13.0,,,,,,,,,EarlyAdverseConfirmed,0.7868852459,5.0,0.45,Tue,NewYork,Tue,NewYork,-0.621350706786429,0.0,-0.621350706786429,False,,0.002777777777777778,0.44722222222222224,-0.621350706786429,False,False,False,False,True,ATR_14.03-24.99,ADX_41.75-45.05,HOLD_H_0.449-2.158,MFE_-37-821.3,MAE_-3730--2716,
