trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-XAUUSD_HIST-1692720000:2,trend-ea-v1-XAUUSD_HIST-1692720000,XAUUSD_HIST,PULLBACK,SELL,2023-08-22 17:00:00+00:00,2023-08-22 18:01:29+00:00,0.04,1890.26,1896.01,-3356.0,0.0,0.0,3.7992857143,43.781847155,450.0,TrendUp,NormalVolatility,2.0,5000.0,-117.0,-3378.0,2023-08-22 17:00:03+00:00,-3378.0,EXPERT,309.9999999999,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7517322526,5.0,1.0247222222222223,Tue,NewYork,Tue,NewYork,-0.6712,-0.0234,-0.6756,False,,0.0008333333333333334,1.0238888888888888,-0.6522,False,False,False,False,True,ATR_3.327-4.253,ADX_42.22-43.78,HOLD_H_1.024-5.088,MFE_-117-445,MAE_-3893--3307,
trend-ea-v1-XAUUSD_HIST-1696219200:4,trend-ea-v1-XAUUSD_HIST-1696219200,XAUUSD_HIST,BREAKOUT,SELL,2023-10-02 05:00:00+00:00,2023-10-03 02:13:41+00:00,0.03,1843.88,1823.636,9101.0,0.0,0.0,5.0635714286,42.2241337012,270.0,TrendDown,HighVolatility,2.0,4983.22,9097.0,-1163.0,2023-10-03 02:13:41+00:00,9097.0,TP,185.9999999999,0.0,,,,,,,,,,,,21.228055555555557,Mon,Tokyo,Tue,Tokyo,1.8263291606631855,1.8255264668226567,-0.23338323413375286,False,-0.0004397053973837529,21.228055555555557,0.0,0.0,False,False,False,False,False,ATR_4.899-5.316,ADX_42.22-43.78,HOLD_H_10.31-21.23,MFE_4360-9233,MAE_-3115--674,GIVEBACK_-0.00685-1.194
trend-ea-v1-XAUUSD_HIST-1696298400:6,trend-ea-v1-XAUUSD_HIST-1696298400,XAUUSD_HIST,BREAKOUT,SELL,2023-10-03 03:00:00+00:00,2023-10-03 17:35:31+00:00,0.03,1824.77,1832.18,-3307.0,0.0,0.0,4.8485714286,57.9236121985,300.0,TrendDown,NormalVolatility,2.0,5028.725,4182.0,-3307.0,2023-10-03 05:32:22+00:00,-3307.0,EXPERT,350.0000000001,0.0,,,,,,,,,EarlyAdverseConfirmed,0.764153862,5.0,14.591944444444444,Tue,Tokyo,Tue,NewYork,-0.6576219618292907,0.8316223297157828,-0.6576219618292907,True,1.7907699665231946,2.5394444444444444,12.0525,-1.4892442915450734,False,False,False,False,True,ATR_4.253-4.899,ADX_44.91-60.87,HOLD_H_10.31-21.23,MFE_445-4360,MAE_-3893--3307,GIVEBACK_1.194-8.558
trend-ea-v1-XAUUSD_HIST-1697140800:8,trend-ea-v1-XAUUSD_HIST-1697140800,XAUUSD_HIST,BREAKOUT,SELL,2023-10-12 21:00:00+00:00,2023-10-13 07:18:29+00:00,0.04,1868.87,1874.78,-3538.0,0.0,0.0,3.9078571429,44.5197022786,320.0000000002,TrendUp,NormalVolatility,2.0,5012.19,449.0,-3568.0,2023-10-12 21:06:42+00:00,-3568.0,EXPERT,319.9999999999,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7542113323,5.0,10.308055555555555,Thu,NewYork,Fri,Tokyo,-0.7058790668350562,0.08958160005905604,-0.7118644744113851,True,8.879732739420936,0.11166666666666666,10.196388888888889,-0.8014460744704411,False,False,False,False,True,ATR_3.327-4.253,ADX_43.78-44.91,HOLD_H_10.31-21.23,MFE_445-4360,MAE_-3893--3307,GIVEBACK_8.558-10.95
trend-ea-v1-XAUUSD_HIST-1697630400:10,trend-ea-v1-XAUUSD_HIST-1697630400,XAUUSD_HIST,BREAKOUT,BUY,2023-10-18 13:00:00+00:00,2023-10-18 16:47:18+00:00,0.03,1944.52,1961.23,7504.0,0.0,0.0,4.2528571429,60.8696468271,319.9999999999,TrendUp,NormalVolatility,2.0,4994.5,7477.0,-925.0,2023-10-18 16:47:17+00:00,7477.0,TP,329.9999999999,0.0,,,,,,,,,,,,3.7883333333333336,Wed,London_NewYork_Overlap,Wed,London_NewYork_Overlap,1.5024526979677646,1.4970467514265693,-0.18520372409650615,False,-0.003611073960144443,3.7880555555555557,0.0002777777777777778,0.0,False,False,False,False,False,ATR_3.327-4.253,ADX_44.91-60.87,HOLD_H_1.024-5.088,MFE_4360-9233,MAE_-3115--674,GIVEBACK_-0.00685-1.194
trend-ea-v1-XAUUSD_HIST-1697742000:12,trend-ea-v1-XAUUSD_HIST-1697742000,XAUUSD_HIST,BREAKOUT,BUY,2023-10-19 20:00:00+00:00,2023-10-20 11:17:42+00:00,0.03,1962.23,1982.87,9287.0,0.0,0.0,5.24,51.8145800432,319.9999999999,TrendUp,NormalVolatility,2.0,5032.02,9233.0,-674.0,2023-10-20 11:17:38+00:00,9206.0,TP,300.0000000002,0.0,,,,,,,,,,,,15.295,Thu,NewYork,Fri,London,1.8455808999169319,1.8348496230142168,-0.13394223393388738,False,-0.0058485865915737035,15.293888888888889,0.0011111111111111111,-0.005365638451357506,False,False,False,False,False,ATR_4.899-5.316,ADX_44.91-60.87,HOLD_H_10.31-21.23,MFE_4360-9233,MAE_-3115--674,GIVEBACK_-0.00685-1.194
trend-ea-v1-XAUUSD_HIST-1697817600:14,trend-ea-v1-XAUUSD_HIST-1697817600,XAUUSD_HIST,BREAKOUT,BUY,2023-10-20 17:00:00+00:00,2023-10-20 20:17:59+00:00,0.03,1987.43,1978.81,-3875.0,0.0,0.0,5.3157142857,44.9127391637,340.0000000001,TrendUp,NormalVolatility,2.0,5078.455,4360.0,-3893.0,2023-10-20 18:26:17+00:00,-3893.0,EXPERT,390.0000000001,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7807263835,5.0,3.299722222222222,Fri,NewYork,Fri,NewYork,-0.7630273380388327,0.8585288242191769,-0.7665717230929485,True,1.8887614678899083,1.4380555555555556,1.8616666666666666,-1.6251005473121254,False,False,False,False,True,ATR_4.899-5.316,ADX_43.78-44.91,HOLD_H_1.024-5.088,MFE_445-4360,MAE_-3893--3307,GIVEBACK_1.194-8.558
trend-ea-v1-XAUUSD_HIST-1700542800:16,trend-ea-v1-XAUUSD_HIST-1700542800,XAUUSD_HIST,BREAKOUT,BUY,2023-11-21 06:00:00+00:00,2023-11-21 11:05:17+00:00,0.03,1993.35,1986.35,-3098.0,0.0,0.0,4.5328571429,43.3188411353,290.0,TrendUp,NormalVolatility,2.0,5059.08,372.0,-3115.0,2023-11-21 10:08:01+00:00,-3115.0,EXPERT,300.0000000002,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7530120482,5.0,5.088055555555556,Tue,Tokyo,Tue,London,-0.6123643033911305,0.07353115586233071,-0.61572459814828,True,9.327956989247312,4.133611111111111,0.9544444444444444,-0.6892557540106107,False,False,False,False,True,ATR_4.253-4.899,ADX_42.22-43.78,HOLD_H_5.088-10.31,MFE_-117-445,MAE_-3307--3115,GIVEBACK_8.558-10.95
trend-ea-v1-XAUUSD_HIST-1701136800:18,trend-ea-v1-XAUUSD_HIST-1701136800,XAUUSD_HIST,BREAKOUT,BUY,2023-11-28 03:00:00+00:00,2023-11-28 09:50:35+00:00,0.04,2017.37,2012.11,-3124.0,0.0,0.0,3.3278571429,42.6103305707,319.9999999999,TrendUp,NormalVolatility,2.0,5043.59,314.0,-3189.0,2023-11-28 03:04:28+00:00,-3189.0,EXPERT,270.0000000002,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7529344403,5.0,6.843055555555556,Tue,Tokyo,Tue,London,-0.6194000701881002,0.06225724136973862,-0.6322877156945746,True,10.949044585987261,0.07444444444444444,6.768611111111111,-0.6945449570643133,False,False,False,False,True,ATR_3.327-4.253,ADX_42.22-43.78,HOLD_H_5.088-10.31,MFE_-117-445,MAE_-3307--3115,GIVEBACK_8.558-10.95
trend-ea-v1-XAUUSD_HIST-1703732400:20,trend-ea-v1-XAUUSD_HIST-1703732400,XAUUSD_HIST,BREAKOUT,BUY,2023-12-28 04:00:01+00:00,2023-12-28 10:20:19+00:00,0.03,2087.36,2079.57,-3292.0,0.0,0.0,4.8985714286,43.9937194322,309.9999999999,TrendUp,NormalVolatility,2.0,5027.97,445.0,-3292.0,2023-12-28 04:59:49+00:00,-3292.0,EXPERT,349.9999999999,0.0,,,,,,,,,EarlyAdverseConfirmed,0.7624547323,5.0,6.338333333333333,Thu,Tokyo,Thu,London,-0.6547373989900497,0.0885049035694326,-0.6547373989900497,True,8.397752808988765,0.9966666666666667,5.341666666666667,-0.7432423025594822,False,False,False,False,True,ATR_4.253-4.899,ADX_43.78-44.91,HOLD_H_5.088-10.31,MFE_445-4360,MAE_-3307--3115,GIVEBACK_1.194-8.558
