trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-US30_HIST-1641297600:2,trend-ea-v1-US30_HIST-1641297600,US30_HIST,BREAKOUT,BUY,2022-01-04 13:00:12+00:00,2022-01-04 17:01:10+00:00,0.5,36726.0,36887.2,9366.0,0.0,0.0,40.1214285714,44.2417543787,20.0,TrendUp,LowVolatility,2.0,5000.0,9279.0,-2908.0,2022-01-04 17:01:10+00:00,9279.0,TP,15.0,6.0,,,,,,,,,,,,4.016111111111111,Tue,London_NewYork_Overlap,Tue,NewYork,1.8732,1.8558,-0.5816,False,-0.00937601034594245,4.016111111111111,0.0,0.0,False,False,False,False,False,ATR_40.12-79.97,ADX_41.74-44.59,HOLD_H_3.527-7.987,MFE_4828-9279,MAE_-3857--2819,GIVEBACK_-0.0124-1.006
trend-ea-v1-US30_HIST-1642096800:4,trend-ea-v1-US30_HIST-1642096800,US30_HIST,BREAKOUT,BUY,2022-01-13 19:00:00+00:00,2022-01-13 19:14:15+00:00,0.3,36507.6,36404.1,-3542.0,0.0,0.0,67.2642857143,40.8945561096,15.0,TrendUp,NormalVolatility,2.0,5046.83,-103.0,-3644.0,2022-01-13 19:00:01+00:00,-3644.0,EXPERT,15.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.75,5.0,0.2375,Thu,NewYork,Thu,NewYork,-0.701826691210126,-0.020408850704303493,-0.7220373977328343,False,,0.0002777777777777778,0.23722222222222222,-0.7016285470285308,False,False,False,False,True,ATR_40.12-79.97,ADX_40.33-41.74,HOLD_H_0.237-3.527,MFE_-103-1805,MAE_-3857--2819,
trend-ea-v1-US30_HIST-1646924400:6,trend-ea-v1-US30_HIST-1646924400,US30_HIST,BREAKOUT,SELL,2022-03-10 16:00:00+00:00,2022-03-10 16:55:10+00:00,0.2,32863.2,33026.8,-3801.0,0.0,0.0,103.1642857143,41.7797824539,18.0,TrendDown,LowVolatility,2.0,5029.12,569.0,-3820.0,2022-03-10 16:22:27+00:00,-3820.0,EXPERT,15.0,2.0,,,,,,,,,EarlyAdverseConfirmed,0.7918683446,5.0,0.9194444444444444,Thu,London_NewYork_Overlap,Thu,London_NewYork_Overlap,-0.7557982311020616,0.11314106642911682,-0.7595762280478493,True,7.680140597539543,0.37416666666666665,0.5452777777777778,-0.8727172944769662,False,False,False,False,True,ATR_96.27-174.8,ADX_41.74-44.59,HOLD_H_0.237-3.527,MFE_-103-1805,MAE_-3857--2819,GIVEBACK_2.084-66.75
trend-ea-v1-US30_HIST-1648555200:8,trend-ea-v1-US30_HIST-1648555200,US30_HIST,BREAKOUT,BUY,2022-03-29 13:00:00+00:00,2022-03-29 16:30:27+00:00,0.3,35080.0,35302.6,8197.0,0.0,0.0,55.5857142857,40.4465610571,24.0,TrendUp,LowVolatility,2.0,5010.115,8105.0,-1768.0,2022-03-29 16:30:27+00:00,8105.0,TP,15.0,4.0,,,,,,,,,,,,3.5075,Tue,London_NewYork_Overlap,Tue,London_NewYork_Overlap,1.6360901895465474,1.6177273375960433,-0.3528861113966446,False,-0.01135101789019124,3.5075,0.0,0.0,False,False,False,False,False,ATR_40.12-79.97,ADX_40.33-41.74,HOLD_H_0.237-3.527,MFE_4828-9279,MAE_-1967--14,GIVEBACK_-0.0124-1.006
trend-ea-v1-US30_HIST-1650535200:10,trend-ea-v1-US30_HIST-1650535200,US30_HIST,BREAKOUT,BUY,2022-04-21 11:00:00+00:00,2022-04-21 18:57:03+00:00,0.2,35394.0,35263.8,-3351.0,0.0,0.0,81.7285714286,44.3036728843,20.0,TrendUp,NormalVolatility,2.0,5051.1,3090.0,-3351.0,2022-04-21 16:56:58+00:00,-3351.0,EXPERT,15.0,3.0,,,,,,,,,EarlyAdverseConfirmed,0.793902439,5.0,7.950833333333334,Thu,London,Thu,NewYork,-0.6634198491417711,0.6117479360931282,-0.6634198491417711,True,2.0844660194174756,5.9494444444444445,2.001388888888889,-1.2751677852348993,False,False,False,False,True,ATR_79.97-96.27,ADX_41.74-44.59,HOLD_H_3.527-7.987,MFE_1805-4828,MAE_-3857--2819,GIVEBACK_2.084-66.75
trend-ea-v1-US30_HIST-1650996000:12,trend-ea-v1-US30_HIST-1650996000,US30_HIST,BREAKOUT,SELL,2022-04-26 19:00:00+00:00,2022-04-26 19:27:13+00:00,0.1,33466.0,33631.0,-2104.0,0.0,0.0,109.0928571429,44.3412787621,15.0,TrendDown,NormalVolatility,2.0,5034.345,32.0,-2104.0,2022-04-26 19:03:16+00:00,-2104.0,EXPERT,15.0,1.0,,,,,,,,,EarlyAdverseConfirmed,0.7614213198,5.0,0.45361111111111113,Tue,NewYork,Tue,NewYork,-0.4179292440228073,0.006356338312133952,-0.4179292440228073,True,66.75,0.05444444444444444,0.39916666666666667,-0.4242855823349413,False,False,False,False,True,ATR_96.27-174.8,ADX_41.74-44.59,HOLD_H_0.237-3.527,MFE_-103-1805,MAE_-2819--1967,GIVEBACK_2.084-66.75
trend-ea-v1-US30_HIST-1651003200:14,trend-ea-v1-US30_HIST-1651003200,US30_HIST,BREAKOUT,SELL,2022-04-26 21:00:00+00:00,2022-04-27 11:16:54+00:00,0.1,33422.0,33627.7,-2632.0,0.0,0.0,133.2357142857,51.0209792486,15.0,TrendDown,NormalVolatility,2.0,5023.825,3096.0,-2640.0,2022-04-26 23:52:53+00:00,-2640.0,EXPERT,20.0,1.0,,,,,,,,,EarlyAdverseConfirmed,0.7718574109,5.0,14.281666666666666,Tue,NewYork,Wed,London,-0.5239035993491016,0.6162635044015268,-0.5254960115051779,True,1.8501291989664084,2.881388888888889,11.400277777777777,-1.1417595159067047,False,False,False,False,True,ATR_96.27-174.8,ADX_44.59-53.92,HOLD_H_7.987-68.7,MFE_1805-4828,MAE_-2819--1967,GIVEBACK_1.006-2.084
trend-ea-v1-US30_HIST-1651518000:16,trend-ea-v1-US30_HIST-1651518000,US30_HIST,BREAKOUT,SELL,2022-05-02 20:00:00+00:00,2022-05-02 22:30:32+00:00,0.1,32762.4,33024.4,-3411.0,0.0,0.0,174.7642857143,42.2494810527,15.0,TrendDown,NormalVolatility,2.0,5010.665,3969.0,-3411.0,2022-05-02 21:44:00+00:00,-3411.0,EXPERT,15.0,1.0,,,,,,,,,EarlyAdverseConfirmed,0.7605224964,5.0,2.508888888888889,Mon,NewYork,Mon,Tokyo,-0.6807479645915263,0.7921104284561031,-0.6807479645915263,True,1.8594104308390023,1.7333333333333334,0.7755555555555556,-1.4728583930476293,False,False,False,False,True,ATR_96.27-174.8,ADX_41.74-44.59,HOLD_H_0.237-3.527,MFE_1805-4828,MAE_-3857--2819,GIVEBACK_1.006-2.084
trend-ea-v1-US30_HIST-1653069600:18,trend-ea-v1-US30_HIST-1653069600,US30_HIST,BREAKOUT,SELL,2022-05-20 19:00:00+00:00,2022-05-20 22:34:02+00:00,0.1,31019.3,31022.5,-41.0,0.0,0.0,123.1642857143,40.5661944521,15.0,TrendDown,NormalVolatility,2.0,4993.61,4959.0,-147.0,2022-05-20 20:27:17+00:00,83.0,SL,100.0,1.0,,,,,,,,,,,,3.567222222222222,Fri,NewYork,Fri,Tokyo,-0.008210493010066867,0.9930691423639412,-0.029437621279995836,True,1.0082677959265982,1.4547222222222222,2.1125,-0.9764479004167327,False,False,False,False,False,ATR_96.27-174.8,ADX_40.33-41.74,HOLD_H_3.527-7.987,MFE_4828-9279,MAE_-1967--14,GIVEBACK_1.006-2.084
trend-ea-v1-US30_HIST-1654588800:20,trend-ea-v1-US30_HIST-1654588800,US30_HIST,BREAKOUT,SELL,2022-06-07 09:00:00+00:00,2022-06-07 17:32:29+00:00,0.1,32689.2,32861.7,-2288.0,0.0,0.0,113.3928571429,47.2178469361,24.0,TrendDown,NormalVolatility,2.0,4993.405,1014.0,-2301.0,2022-06-07 16:13:23+00:00,-2301.0,EXPERT,15.0,1.0,,,,,,,,,EarlyAdverseConfirmed,0.7605820106,5.0,8.54138888888889,Tue,London,Tue,NewYork,-0.4582043715660957,0.2030678464895197,-0.46080780549544853,True,3.2564102564102564,7.223055555555556,1.3183333333333334,-0.6638756519849682,False,False,False,False,True,ATR_96.27-174.8,ADX_44.59-53.92,HOLD_H_7.987-68.7,MFE_-103-1805,MAE_-2819--1967,GIVEBACK_2.084-66.75
