trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-EURJPY_HIST-1546401600:2,trend-ea-v1-EURJPY_HIST-1546401600,EURJPY_HIST,BREAKOUT,SELL,2019-01-02 05:00:00+00:00,2019-01-02 09:05:17+00:00,0.12,125.261,125.568,-3684.0,0.0,0.0,0.2018571429,43.3158900879,5.0,TrendDown,NormalVolatility,2.0,5000.0,1056.0,-3684.0,2019-01-02 06:31:43+00:00,-3684.0,EXPERT,5.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7599009901,5.0,4.088055555555556,Wed,Tokyo,Wed,London,-0.7368,0.2112,-0.7368,True,4.488636363636363,1.5286111111111111,2.5594444444444444,-0.948,False,False,False,False,True,ATR_0.149-0.255,ADX_43.22-47.97,HOLD_H_3.883-8.854,MFE_112-1560,MAE_-3923--3667,GIVEBACK_3.477-32.25
trend-ea-v1-EURJPY_HIST-1547438400:4,trend-ea-v1-EURJPY_HIST-1547438400,EURJPY_HIST,BREAKOUT,SELL,2019-01-14 05:00:00+00:00,2019-01-15 02:43:48+00:00,0.14,124.102,124.37,-3923.0,0.0,-171.0,0.1766428571,40.2515728683,9.0,TrendDown,NormalVolatility,2.0,4981.58,4564.0,-3923.0,2019-01-14 12:11:27+00:00,-3923.0,EXPERT,4.0,14.0,,,,,,,,,EarlyAdverseConfirmed,0.7592067989,5.0,21.73,Mon,Tokyo,Tue,Tokyo,-0.7875011542522654,0.9161751893977413,-0.7875011542522654,True,1.8595530236634532,7.190833333333333,14.539166666666667,-1.7036763436500066,False,False,False,False,True,ATR_0.149-0.255,ADX_40.16-43.22,HOLD_H_8.854-80.45,MFE_1560-5371,MAE_-3923--3667,GIVEBACK_1.02-3.477
trend-ea-v1-EURJPY_HIST-1549447200:6,trend-ea-v1-EURJPY_HIST-1549447200,EURJPY_HIST,BREAKOUT,SELL,2019-02-06 11:00:00+00:00,2019-02-06 14:52:59+00:00,0.18,124.843,125.041,-3564.0,0.0,0.0,0.1314285714,40.1556000258,7.0,TrendDown,NormalVolatility,2.0,4961.965,324.0,-3582.0,2019-02-06 11:12:23+00:00,-3582.0,EXPERT,4.0,18.0,,,,,,,,,EarlyAdverseConfirmed,0.752851711,5.0,3.8830555555555555,Wed,London,Wed,London_NewYork_Overlap,-0.7182638329774595,0.06529671208885995,-0.7218914280935073,True,12.0,0.2063888888888889,3.6766666666666667,-0.7871881401823673,False,False,False,False,True,ATR_0.128-0.149,ADX_40.16-43.22,HOLD_H_3.883-8.854,MFE_112-1560,MAE_-3667--3408,GIVEBACK_3.477-32.25
trend-ea-v1-EURJPY_HIST-1553767200:8,trend-ea-v1-EURJPY_HIST-1553767200,EURJPY_HIST,BREAKOUT,SELL,2019-03-28 11:00:00+00:00,2019-03-28 11:44:40+00:00,0.15,123.706,123.952,-3690.0,0.0,0.0,0.1632142857,43.2243484345,12.0,TrendDown,NormalVolatility,2.0,4944.145,540.0,-3705.0,2019-03-28 11:24:21+00:00,-3705.0,EXPERT,7.0,15.0,,,,,,,,,EarlyAdverseConfirmed,0.754601227,5.0,0.7444444444444445,Thu,London,Thu,London,-0.7463373343621597,0.10922009771153555,-0.7493712259652578,True,7.833333333333333,0.4058333333333333,0.3386111111111111,-0.8585913236767934,False,False,False,False,True,ATR_0.149-0.255,ADX_40.16-43.22,HOLD_H_0.743-3.883,MFE_112-1560,MAE_-3923--3667,GIVEBACK_3.477-32.25
trend-ea-v1-EURJPY_HIST-1556852400:10,trend-ea-v1-EURJPY_HIST-1556852400,EURJPY_HIST,BREAKOUT,SELL,2019-05-03 04:00:00+00:00,2019-05-03 15:30:01+00:00,0.23,124.538,124.541,-69.0,0.0,0.0,0.1057857143,46.3337064434,4.0,TrendDown,NormalVolatility,2.0,4925.695,5865.0,-1909.0,2019-05-03 14:16:04+00:00,391.0,SL,169.0,23.0,,,,,,,,,,,,11.500277777777777,Fri,Tokyo,Fri,London_NewYork_Overlap,-0.014008175496046752,1.1906949171639738,-0.38755952205729344,True,1.011764705882353,10.267777777777777,1.2325,-1.111315256019709,False,False,False,False,False,ATR_0.0909-0.128,ADX_43.22-47.97,HOLD_H_8.854-80.45,MFE_5371-9525,MAE_-3408--170,GIVEBACK_-0.00887-1.02
trend-ea-v1-EURJPY_HIST-1558612800:12,trend-ea-v1-EURJPY_HIST-1558612800,EURJPY_HIST,BREAKOUT,SELL,2019-05-23 13:00:00+00:00,2019-05-23 19:25:57+00:00,0.17,122.544,122.544,0.0,0.0,0.0,0.1376428571,54.2784009126,5.0,TrendDown,NormalVolatility,2.0,4925.35,6664.0,-2516.0,2019-05-23 16:45:28+00:00,34.0,SL,6.0,17.0,,,,,,,,,,,,6.4325,Thu,London_NewYork_Overlap,Thu,NewYork,0.0,1.353000294395322,-0.5108266417614992,False,1.0,3.7577777777777777,2.674722222222222,-1.3460972316688153,False,False,False,False,False,ATR_0.128-0.149,ADX_47.97-66.57,HOLD_H_3.883-8.854,MFE_5371-9525,MAE_-3408--170,GIVEBACK_-0.00887-1.02
trend-ea-v1-EURJPY_HIST-1559120400:14,trend-ea-v1-EURJPY_HIST-1559120400,EURJPY_HIST,BREAKOUT,SELL,2019-05-29 10:00:00+00:00,2019-05-29 13:56:26+00:00,0.19,121.856,122.05,-3686.0,0.0,0.0,0.1287857143,42.1239910936,5.0,TrendDown,NormalVolatility,2.0,4925.35,1881.0,-3705.0,2019-05-29 10:56:53+00:00,-3705.0,EXPERT,5.0,19.0,,,,,,,,,EarlyAdverseConfirmed,0.7519379845,5.0,3.9405555555555556,Wed,London,Wed,London_NewYork_Overlap,-0.7483732120559959,0.3819017937811526,-0.7522308059325733,True,2.95959595959596,0.9480555555555555,2.9925,-1.134132599713726,False,False,False,False,True,ATR_0.128-0.149,ADX_40.16-43.22,HOLD_H_3.883-8.854,MFE_1560-5371,MAE_-3923--3667,GIVEBACK_1.02-3.477
trend-ea-v1-EURJPY_HIST-1559152800:16,trend-ea-v1-EURJPY_HIST-1559152800,EURJPY_HIST,BREAKOUT,SELL,2019-05-29 19:00:00+00:00,2019-05-29 20:26:51+00:00,0.14,121.644,121.894,-3500.0,0.0,0.0,0.1659285714,42.5584377686,4.0,TrendDown,HighVolatility,2.0,4906.92,112.0,-3500.0,2019-05-29 19:00:19+00:00,-3500.0,EXPERT,4.0,14.0,,,,,,,,,EarlyAdverseConfirmed,0.7530120482,5.0,1.4475,Wed,NewYork,Wed,NewYork,-0.7132783905178809,0.022824908496572188,-0.7132783905178809,True,32.25,0.005277777777777778,1.4422222222222223,-0.736103299014453,False,False,False,False,True,ATR_0.149-0.255,ADX_40.16-43.22,HOLD_H_0.743-3.883,MFE_112-1560,MAE_-3667--3408,GIVEBACK_3.477-32.25
trend-ea-v1-EURJPY_HIST-1559228400:18,trend-ea-v1-EURJPY_HIST-1559228400,EURJPY_HIST,PULLBACK,SELL,2019-05-30 16:00:00+00:00,2019-05-31 05:31:43+00:00,0.19,122.078,121.582,9192.0,0.0,-232.0,0.1240714286,47.9692512325,5.0,TrendUp,NormalVolatility,2.0,4889.42,9173.0,-3515.0,2019-05-31 05:31:43+00:00,9173.0,TP,4.0,19.0,,,,,,,,,,,,13.528611111111111,Thu,London_NewYork_Overlap,Fri,Tokyo,1.879977584253347,1.8760916427715353,-0.7188991741351735,False,-0.002071296195355936,13.528611111111111,0.0,0.0,False,False,False,False,False,ATR_0.0909-0.128,ADX_47.97-66.57,HOLD_H_8.854-80.45,MFE_5371-9525,MAE_-3667--3408,GIVEBACK_-0.00887-1.02
trend-ea-v1-EURJPY_HIST-1559286000:20,trend-ea-v1-EURJPY_HIST-1559286000,EURJPY_HIST,BREAKOUT,SELL,2019-05-31 08:00:00+00:00,2019-06-03 16:26:52+00:00,0.15,121.314,121.314,-183.0,0.0,-183.0,0.1633571429,66.5675711526,7.0,TrendDown,NormalVolatility,2.0,4935.38,7707.0,-2745.0,2019-06-03 07:59:51+00:00,-168.0,SL,5.0,15.0,,,,,,,,,,,,80.44777777777777,Fri,London,Mon,London_NewYork_Overlap,-0.03707921173242992,1.5615818842723357,-0.5561881759864489,True,1.0237446477228493,71.9975,8.450277777777778,-1.5956218163545663,False,False,False,False,False,ATR_0.149-0.255,ADX_47.97-66.57,HOLD_H_8.854-80.45,MFE_5371-9525,MAE_-3408--170,GIVEBACK_1.02-3.477
