trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-EURUSD_HIST-1515074400:2,trend-ea-v1-EURUSD_HIST-1515074400,EURUSD_HIST,BREAKOUT,BUY,2018-01-04 15:00:00+00:00,2018-01-05 10:19:24+00:00,0.17,1.20707,1.20516,-3789.0,0.0,-113.0,0.0012242857,40.1594305209,4.0,TrendUp,NormalVolatility,2.0,5000.0,3451.0,-3789.0,2018-01-04 17:25:31+00:00,-3789.0,EXPERT,4.0,19.0,,,,,,,,,EarlyAdverseConfirmed,0.7670682731,5.0,19.323333333333334,Thu,London_NewYork_Overlap,Fri,London,-0.7578,0.6902,-0.7578,True,2.0979426253259925,2.4252777777777776,16.898055555555555,-1.448,False,False,False,False,True,ATR_-0.000237-0.00129,ADX_40.16-42.49,HOLD_H_8.552-84.86,MFE_3273-9669,MAE_-4399--3659,GIVEBACK_2.097-4.728
trend-ea-v1-EURUSD_HIST-1515787200:4,trend-ea-v1-EURUSD_HIST-1515787200,EURUSD_HIST,BREAKOUT,BUY,2018-01-12 21:00:00+00:00,2018-01-15 12:16:54+00:00,0.08,1.21626,1.22695,9405.0,0.0,-53.0,0.0026828571,56.1077566586,4.0,TrendUp,HighVolatility,2.0,4981.055,9387.0,-195.0,2018-01-15 12:16:54+00:00,9387.0,TP,4.0,9.0,,,,,,,,,,,,63.281666666666666,Fri,NewYork,Mon,London,1.8881542163256577,1.8845405240456088,-0.039148333033865314,False,-0.0019175455417066154,63.281666666666666,0.0,0.0,False,False,False,False,False,ATR_0.00179-0.00268,ADX_48.61-56.11,HOLD_H_8.552-84.86,MFE_3273-9669,MAE_-3503--195,GIVEBACK_-0.00385-2.097
trend-ea-v1-EURUSD_HIST-1516755600:6,trend-ea-v1-EURUSD_HIST-1516755600,EURUSD_HIST,BREAKOUT,BUY,2018-01-24 02:00:00+00:00,2018-01-24 16:09:34+00:00,0.12,1.23095,1.23793,9164.0,0.0,0.0,0.0017592857,48.6113312563,4.0,TrendUp,NormalVolatility,2.0,5028.08,9138.0,-2514.0,2018-01-24 16:09:34+00:00,9125.0,TP,4.0,13.0,,,,,,,,,,,,14.159444444444444,Wed,Tokyo,Wed,London_NewYork_Overlap,1.8225644778921577,1.8173935180028957,-0.49999204467709346,False,-0.0028452615451958854,14.159444444444444,0.0,-0.002585479944630953,False,False,False,False,False,ATR_0.00129-0.00179,ADX_48.61-56.11,HOLD_H_8.552-84.86,MFE_3273-9669,MAE_-3503--195,GIVEBACK_-0.00385-2.097
trend-ea-v1-EURUSD_HIST-1516852800:8,trend-ea-v1-EURUSD_HIST-1516852800,EURUSD_HIST,BREAKOUT,BUY,2018-01-25 05:00:00+00:00,2018-01-25 10:37:28+00:00,0.12,1.24229,1.23937,-3827.0,0.0,0.0,0.0019071429,41.7880038257,4.0,TrendUp,NormalVolatility,2.0,5073.9,4712.0,-3827.0,2018-01-25 08:31:01+00:00,-3827.0,EXPERT,5.0,13.0,,,,,,,,,EarlyAdverseConfirmed,0.7584415584,5.0,5.624444444444444,Thu,Tokyo,Thu,London,-0.7542521531760579,0.9286741953921047,-0.7542521531760579,True,1.8121816638370118,3.5169444444444444,2.1075,-1.6829263485681627,False,False,False,False,True,ATR_0.00179-0.00268,ADX_40.16-42.49,HOLD_H_2.993-8.552,MFE_3273-9669,MAE_-4399--3659,GIVEBACK_-0.00385-2.097
trend-ea-v1-EURUSD_HIST-1517410800:10,trend-ea-v1-EURUSD_HIST-1517410800,EURUSD_HIST,BREAKOUT,BUY,2018-01-31 16:00:00+00:00,2018-01-31 18:33:25+00:00,0.11,1.24649,1.24351,-3582.0,0.0,0.0,0.0019607143,53.9854372747,4.0,TrendUp,NormalVolatility,2.0,5054.765,1163.0,-3594.0,2018-01-31 17:38:15+00:00,-3594.0,EXPERT,4.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7525252525,5.0,2.5569444444444445,Wed,London_NewYork_Overlap,Wed,NewYork,-0.7086382848658641,0.23007993447766611,-0.7110122824701048,True,4.0799656061908856,1.6375,0.9194444444444444,-0.941092216947771,False,False,False,False,True,ATR_0.00179-0.00268,ADX_48.61-56.11,HOLD_H_0.619-2.993,MFE_720-3273,MAE_-3659--3503,GIVEBACK_2.097-4.728
trend-ea-v1-EURUSD_HIST-1518523200:12,trend-ea-v1-EURUSD_HIST-1518523200,EURUSD_HIST,BREAKOUT,BUY,2018-02-13 13:00:00+00:00,2018-02-14 12:04:32+00:00,0.14,1.2349,1.2349,-89.0,0.0,-89.0,0.0016178571,55.5282870979,5.0,TrendUp,NormalVolatility,2.0,5036.855,6391.0,-3437.0,2018-02-14 05:58:20+00:00,-29.0,SL,4.0,15.0,,,,,,,,,,,,23.075555555555557,Tue,London_NewYork_Overlap,Wed,London,-0.017669756226851876,1.2688473263574196,-0.6823702488953921,True,1.0139258332029417,16.97222222222222,6.1033333333333335,-1.2746048873751579,False,False,False,False,False,ATR_0.00129-0.00179,ADX_48.61-56.11,HOLD_H_8.552-84.86,MFE_3273-9669,MAE_-3503--195,GIVEBACK_-0.00385-2.097
trend-ea-v1-EURUSD_HIST-1518685200:14,trend-ea-v1-EURUSD_HIST-1518685200,EURUSD_HIST,BREAKOUT,BUY,2018-02-15 10:00:00+00:00,2018-02-15 13:48:32+00:00,0.12,1.25006,1.24711,-3775.0,0.0,0.0,0.0019464286,45.4103188745,4.0,TrendUp,NormalVolatility,2.0,5036.41,434.0,-3788.0,2018-02-15 10:00:49+00:00,-3788.0,EXPERT,4.0,13.0,,,,,,,,,EarlyAdverseConfirmed,0.7506361323,5.0,3.8088888888888888,Thu,London,Thu,London_NewYork_Overlap,-0.749541836347716,0.08617249191388311,-0.7521230400225558,True,9.69815668202765,0.01361111111111111,3.7952777777777778,-0.8382955319364389,False,False,False,False,True,ATR_0.00179-0.00268,ADX_42.49-48.61,HOLD_H_2.993-8.552,MFE_-326-720,MAE_-4399--3659,GIVEBACK_4.728-20.85
trend-ea-v1-EURUSD_HIST-1520424000:16,trend-ea-v1-EURUSD_HIST-1520424000,EURUSD_HIST,BREAKOUT,BUY,2018-03-07 13:00:00+00:00,2018-03-07 13:57:24+00:00,0.16,1.24349,1.24135,-3619.0,0.0,0.0,0.001395,43.6039311789,4.0,TrendUp,NormalVolatility,2.0,5017.535,270.0,-3619.0,2018-03-07 13:00:34+00:00,-3619.0,EXPERT,5.0,17.0,,,,,,,,,EarlyAdverseConfirmed,0.7561837456,5.0,0.9566666666666667,Wed,London_NewYork_Overlap,Wed,London_NewYork_Overlap,-0.7212705043412752,0.05381128382761655,-0.7212705043412752,True,14.403703703703703,0.009444444444444445,0.9472222222222222,-0.7750817881688917,False,False,False,False,True,ATR_0.00129-0.00179,ADX_42.49-48.61,HOLD_H_0.619-2.993,MFE_-326-720,MAE_-3659--3503,GIVEBACK_4.728-20.85
trend-ea-v1-EURUSD_HIST-1521795600:18,trend-ea-v1-EURUSD_HIST-1521795600,EURUSD_HIST,BREAKOUT,BUY,2018-03-23 10:00:00+00:00,2018-03-23 10:37:11+00:00,0.17,1.23452,1.2324,-3780.0,0.0,0.0,0.0013785714,45.697968231,4.0,TrendUp,NormalVolatility,2.0,4999.44,606.0,-3780.0,2018-03-23 10:07:02+00:00,-3780.0,EXPERT,4.0,18.0,,,,,,,,,EarlyAdverseConfirmed,0.7571428571,5.0,0.6197222222222222,Fri,London,Fri,London,-0.7560846814843263,0.12121357592050311,-0.7560846814843263,True,7.237623762376238,0.11722222222222223,0.5025,-0.8772982574048294,False,False,False,False,True,ATR_0.00129-0.00179,ADX_42.49-48.61,HOLD_H_0.619-2.993,MFE_-326-720,MAE_-4399--3659,GIVEBACK_4.728-20.85
trend-ea-v1-EURUSD_HIST-1521831600:20,trend-ea-v1-EURUSD_HIST-1521831600,EURUSD_HIST,BREAKOUT,BUY,2018-03-23 20:00:00+00:00,2018-03-26 16:49:42+00:00,0.13,1.23629,1.24343,9682.0,0.0,-80.0,0.0017942857,47.3462940317,4.0,TrendUp,NormalVolatility,2.0,4980.54,9669.0,-1837.0,2018-03-26 16:49:42+00:00,9669.0,TP,4.0,14.0,,,,,,,,,,,,68.82833333333333,Fri,NewYork,Mon,London_NewYork_Overlap,1.943965915342513,1.9413557566047055,-0.3688355077963434,False,-0.0013445030509876927,68.82833333333333,0.0,0.0,False,False,False,False,False,ATR_0.00179-0.00268,ADX_42.49-48.61,HOLD_H_8.552-84.86,MFE_3273-9669,MAE_-3503--195,GIVEBACK_-0.00385-2.097
