trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-USDJPY_HIST-1516042800:2,trend-ea-v1-USDJPY_HIST-1516042800,USDJPY_HIST,BREAKOUT,SELL,2018-01-15 20:00:00+00:00,2018-01-16 02:04:32+00:00,0.16,110.428,110.656,-4049.0,0.0,-401.0,0.1494285714,41.0668774635,3.0,TrendDown,NormalVolatility,2.0,5000.0,1616.0,-4049.0,2018-01-15 20:50:15+00:00,-4049.0,EXPERT,3.0,16.0,,,,,,,,,EarlyAdverseConfirmed,0.7651006711,5.0,6.075555555555556,Mon,NewYork,Tue,Tokyo,-0.8098,0.3232,-0.8098,True,3.5055693069306932,0.8375,5.2380555555555555,-1.133,False,False,False,False,True,ATR_0.146-0.214,ADX_40.09-41.92,HOLD_H_5.104-11.76,MFE_114-1694,MAE_-4338--3729,GIVEBACK_3.361-32.67
trend-ea-v1-USDJPY_HIST-1516755600:4,trend-ea-v1-USDJPY_HIST-1516755600,USDJPY_HIST,BREAKOUT,SELL,2018-01-24 02:00:00+00:00,2018-01-24 12:58:59+00:00,0.16,110.121,109.513,9728.0,0.0,0.0,0.153,56.9397537888,3.0,TrendDown,NormalVolatility,2.0,4979.755,9712.0,-2880.0,2018-01-24 12:58:59+00:00,9712.0,TP,3.0,16.0,,,,,,,,,,,,10.983055555555556,Wed,Tokyo,Wed,London,1.9535097610223795,1.9502967515470138,-0.5783417055658361,False,-0.0016474464579901153,10.983055555555556,0.0,0.0,False,False,False,False,False,ATR_0.146-0.214,ADX_45.19-58.55,HOLD_H_5.104-11.76,MFE_4105-9971,MAE_-3279--132,GIVEBACK_-0.0277-0.669
trend-ea-v1-USDJPY_HIST-1519696800:6,trend-ea-v1-USDJPY_HIST-1519696800,USDJPY_HIST,PULLBACK,SELL,2018-02-27 03:00:00+00:00,2018-02-27 03:55:16+00:00,0.18,106.841,107.054,-3834.0,0.0,0.0,0.1384285714,40.0951138831,3.0,TrendUp,NormalVolatility,2.0,5028.395,918.0,-3870.0,2018-02-27 03:01:47+00:00,-3870.0,EXPERT,3.0,18.0,,,,,,,,,EarlyAdverseConfirmed,0.7661870504,5.0,0.9211111111111111,Tue,Tokyo,Tue,Tokyo,-0.7624699332490784,0.1825632234540047,-0.7696292753453139,True,5.176470588235294,0.029722222222222223,0.8913888888888889,-0.9521924987993186,False,False,False,False,True,ATR_0.116-0.146,ADX_40.09-41.92,HOLD_H_0.92-5.104,MFE_114-1694,MAE_-4338--3729,GIVEBACK_3.361-32.67
trend-ea-v1-USDJPY_HIST-1520334000:8,trend-ea-v1-USDJPY_HIST-1520334000,USDJPY_HIST,PULLBACK,SELL,2018-03-06 12:00:00+00:00,2018-03-06 13:05:27+00:00,0.19,105.861,106.051,-3610.0,0.0,0.0,0.1247142857,45.0927065302,3.0,TrendUp,NormalVolatility,2.0,5009.225,114.0,-3629.0,2018-03-06 12:01:20+00:00,-3629.0,EXPERT,3.0,19.0,,,,,,,,,EarlyAdverseConfirmed,0.7569721116,5.0,1.0908333333333333,Tue,London,Tue,London_NewYork_Overlap,-0.7206703631799329,0.02275801146883999,-0.7244633650914063,True,32.666666666666664,0.022222222222222223,1.0686111111111112,-0.7472213765602463,False,False,False,False,True,ATR_0.116-0.146,ADX_41.92-45.19,HOLD_H_0.92-5.104,MFE_114-1694,MAE_-3729--3279,GIVEBACK_3.361-32.67
trend-ea-v1-USDJPY_HIST-1520964000:10,trend-ea-v1-USDJPY_HIST-1520964000,USDJPY_HIST,PULLBACK,SELL,2018-03-13 19:00:00+00:00,2018-03-14 08:00:00+00:00,0.11,106.63,106.522,912.0,0.0,-276.0,0.2142142857,43.7210531658,3.0,TrendUp,HighVolatility,2.0,4991.175,2298.0,-1607.0,2018-03-14 06:00:36+00:00,747.0,EXPERT,3.0,11.0,,,,,,,,,,,,13.0,Tue,NewYork,Wed,London,0.18272250522171632,0.4604126282889299,-0.3219682740036164,False,0.6031331592689295,11.01,1.99,-0.31074847105140574,False,False,False,False,False,ATR_0.146-0.214,ADX_41.92-45.19,HOLD_H_11.76-35,MFE_1694-4105,MAE_-3279--132,GIVEBACK_-0.0277-0.669
trend-ea-v1-USDJPY_HIST-1521640800:12,trend-ea-v1-USDJPY_HIST-1521640800,USDJPY_HIST,PULLBACK,SELL,2018-03-21 15:00:00+00:00,2018-03-21 19:09:30+00:00,0.27,106.258,106.398,-3780.0,0.0,0.0,0.0901428571,42.9917049314,3.0,TrendDown,LowVolatility,2.0,4995.735,3159.0,-3807.0,2018-03-21 16:34:19+00:00,-3807.0,EXPERT,3.0,27.0,,,,,,,,,EarlyAdverseConfirmed,0.7777777778,5.0,4.158333333333333,Wed,London_NewYork_Overlap,Wed,NewYork,-0.7566454185420164,0.632339385495828,-0.7620500286744594,True,2.1965811965811968,1.5719444444444444,2.586388888888889,-1.3943894141702873,False,False,False,False,True,ATR_0.085-0.116,ADX_41.92-45.19,HOLD_H_0.92-5.104,MFE_1694-4105,MAE_-4338--3729,GIVEBACK_0.669-3.361
trend-ea-v1-USDJPY_HIST-1525222800:14,trend-ea-v1-USDJPY_HIST-1525222800,USDJPY_HIST,BREAKOUT,BUY,2018-05-02 02:00:00+00:00,2018-05-02 03:14:59+00:00,0.21,109.91,109.733,-3717.0,0.0,0.0,0.1145714286,58.5504286929,3.0,TrendUp,NormalVolatility,2.0,4976.835,189.0,-3717.0,2018-05-02 02:02:18+00:00,-3717.0,EXPERT,3.0,21.0,,,,,,,,,EarlyAdverseConfirmed,0.7629310345,5.0,1.2497222222222222,Wed,Tokyo,Wed,Tokyo,-0.7468602033219908,0.03797594254179614,-0.7468602033219908,True,20.666666666666668,0.03833333333333333,1.2113888888888888,-0.7848361458637869,False,False,False,False,True,ATR_0.085-0.116,ADX_45.19-58.55,HOLD_H_0.92-5.104,MFE_114-1694,MAE_-3729--3279,GIVEBACK_3.361-32.67
trend-ea-v1-USDJPY_HIST-1526886000:16,trend-ea-v1-USDJPY_HIST-1526886000,USDJPY_HIST,BREAKOUT,BUY,2018-05-21 08:00:00+00:00,2018-05-21 18:35:10+00:00,0.24,111.24,111.086,-3696.0,0.0,0.0,0.1002142857,44.1056658641,3.0,TrendUp,NormalVolatility,2.0,4958.25,3672.0,-3936.0,2018-05-21 10:03:31+00:00,-3936.0,EXPERT,3.0,24.0,,,,,,,,,EarlyAdverseConfirmed,0.7586206897,5.0,10.58611111111111,Mon,London,Mon,NewYork,-0.7454242928452579,0.7405838753592497,-0.7938284677053395,True,2.0065359477124183,2.058611111111111,8.5275,-1.5344123430645893,False,False,False,False,True,ATR_0.085-0.116,ADX_41.92-45.19,HOLD_H_5.104-11.76,MFE_1694-4105,MAE_-4338--3729,GIVEBACK_0.669-3.361
trend-ea-v1-USDJPY_HIST-1528992000:18,trend-ea-v1-USDJPY_HIST-1528992000,USDJPY_HIST,PULLBACK,BUY,2018-06-14 17:00:00+00:00,2018-06-15 09:04:04+00:00,0.17,110.348,110.903,9607.0,0.0,172.0,0.1391428571,41.3177551753,3.0,TrendDown,NormalVolatility,2.0,4939.77,9590.0,-1734.0,2018-06-15 09:02:55+00:00,9403.0,TP,3.0,17.0,,,,,,,,,,,,16.067777777777778,Thu,NewYork,Fri,London,1.9448273907489617,1.9413859349726807,-0.3510284891806703,False,-0.001772679874869656,16.04861111111111,0.019166666666666665,-0.0378560135390919,False,False,False,False,False,ATR_0.116-0.146,ADX_40.09-41.92,HOLD_H_11.76-35,MFE_4105-9971,MAE_-3279--132,GIVEBACK_-0.0277-0.669
trend-ea-v1-USDJPY_HIST-1531162800:20,trend-ea-v1-USDJPY_HIST-1531162800,USDJPY_HIST,BREAKOUT,BUY,2018-07-09 20:00:00+00:00,2018-07-10 08:08:59+00:00,0.28,110.824,111.171,9999.0,0.0,283.0,0.0875,41.3207021055,3.0,TrendUp,NormalVolatility,2.0,4987.805,9971.0,-1260.0,2018-07-10 08:08:59+00:00,9971.0,TP,3.0,28.0,,,,,,,,,,,,12.149722222222222,Mon,NewYork,Tue,London,2.0046894375381554,1.9990757457438693,-0.25261613074288186,False,-0.0028081436164878147,12.149722222222222,0.0,0.0,False,False,False,False,False,ATR_0.085-0.116,ADX_40.09-41.92,HOLD_H_11.76-35,MFE_4105-9971,MAE_-3279--132,GIVEBACK_-0.0277-0.669
