month,net_profit,number_of_trades,starting_balance,return_rate
2017-09,-3709.0,3,1000000.0,-0.003709
2017-10,1575.0,2,996291.0,0.001580863422433807
2017-12,38178.0,4,997866.0,0.038259646084744844
2018-01,2088.0,3,1036044.0,0.00201535842107092
2018-02,-3658.0,1,1038132.0,-0.003523636685893509
2018-03,-3575.0,1,1034474.0,-0.0034558625929699536
2018-05,19335.0,3,1030899.0,0.0187554745906243
2018-07,-18309.0,5,1050234.0,-0.017433257731134206
2018-08,-417.0,1,1031925.0,-0.0004040991351115633
2018-10,2242.0,5,1031508.0,0.0021735168316678105
2018-12,-15040.0,5,1033750.0,-0.014548972188633616
2019-01,-7621.0,2,1018710.0,-0.007481029930009522
2019-02,-3564.0,1,1011089.0,-0.0035249122480810295
2019-03,-3690.0,1,1007525.0,-0.003662440137961837
2019-05,1937.0,5,1003835.0,0.0019295999840611255
2019-06,-183.0,1,1005772.0,-0.00018194978583615373
2019-07,-3864.0,1,1005589.0,-0.003842524132622771
2019-08,-1678.0,6,1001725.0,-0.0016751104345004866
2019-09,2285.0,3,1000047.0,0.002284892610047328
2019-10,-3795.0,1,1002332.0,-0.0037861706500440973
2019-12,9117.0,1,998537.0,0.009130357713334609
