trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap
trend-ea-v1-EURJPY_HIST-1505232000:2,trend-ea-v1-EURJPY_HIST-1505232000,EURJPY_HIST,BREAKOUT,BUY,2017-09-12 17:00:00+00:00,2017-09-13 19:32:02+00:00,0.13,131.461,131.461,22.0,0.0,22.0
trend-ea-v1-EURJPY_HIST-1505746800:4,trend-ea-v1-EURJPY_HIST-1505746800,EURJPY_HIST,BREAKOUT,BUY,2017-09-18 16:00:00+00:00,2017-09-18 19:08:23+00:00,0.13,133.281,132.994,-3731.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1505793600:6,trend-ea-v1-EURJPY_HIST-1505793600,EURJPY_HIST,BREAKOUT,BUY,2017-09-19 05:00:00+00:00,2017-09-19 14:26:13+00:00,0.13,133.498,133.498,0.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1507759200:8,trend-ea-v1-EURJPY_HIST-1507759200,EURJPY_HIST,BREAKOUT,BUY,2017-10-11 23:00:00+00:00,2017-10-12 15:00:58+00:00,0.13,133.357,133.067,-3748.0,0.0,22.0
trend-ea-v1-EURJPY_HIST-1508839200:10,trend-ea-v1-EURJPY_HIST-1508839200,EURJPY_HIST,PULLBACK,BUY,2017-10-24 11:00:00+00:00,2017-10-25 11:00:00+00:00,0.16,133.623,133.954,5323.0,0.0,27.0
trend-ea-v1-EURJPY_HIST-1512637200:12,trend-ea-v1-EURJPY_HIST-1512637200,EURJPY_HIST,BREAKOUT,BUY,2017-12-07 10:00:00+00:00,2017-12-07 20:22:44+00:00,0.23,132.756,133.176,9660.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1512676800:14,trend-ea-v1-EURJPY_HIST-1512676800,EURJPY_HIST,BREAKOUT,BUY,2017-12-07 21:00:00+00:00,2017-12-11 02:56:45+00:00,0.15,133.159,133.795,9590.0,0.0,50.0
trend-ea-v1-EURJPY_HIST-1513702800:16,trend-ea-v1-EURJPY_HIST-1513702800,EURJPY_HIST,BREAKOUT,BUY,2017-12-19 18:00:00+00:00,2017-12-20 12:31:14+00:00,0.14,133.444,134.11,9348.0,0.0,24.0
trend-ea-v1-EURJPY_HIST-1513782000:18,trend-ea-v1-EURJPY_HIST-1513782000,EURJPY_HIST,BREAKOUT,BUY,2017-12-20 16:00:00+00:00,2017-12-21 09:37:30+00:00,0.15,134.177,134.814,9580.0,0.0,25.0
trend-ea-v1-EURJPY_HIST-1515067200:2,trend-ea-v1-EURJPY_HIST-1515067200,EURJPY_HIST,BREAKOUT,BUY,2018-01-04 13:00:00+00:00,2018-01-04 15:39:22+00:00,0.22,135.661,136.091,9460.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1515135600:4,trend-ea-v1-EURJPY_HIST-1515135600,EURJPY_HIST,BREAKOUT,BUY,2018-01-05 08:00:00+00:00,2018-01-05 16:12:13+00:00,0.19,136.416,136.218,-3762.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1515974400:6,trend-ea-v1-EURJPY_HIST-1515974400,EURJPY_HIST,BREAKOUT,BUY,2018-01-15 01:00:00+00:00,2018-01-15 02:19:45+00:00,0.1,135.582,135.221,-3610.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1517558400:8,trend-ea-v1-EURJPY_HIST-1517558400,EURJPY_HIST,BREAKOUT,BUY,2018-02-02 09:00:00+00:00,2018-02-05 01:09:52+00:00,0.14,137.203,136.94,-3658.0,0.0,24.0
trend-ea-v1-EURJPY_HIST-1521442800:10,trend-ea-v1-EURJPY_HIST-1521442800,EURJPY_HIST,BREAKOUT,SELL,2018-03-19 08:00:00+00:00,2018-03-19 10:48:51+00:00,0.13,129.677,129.952,-3575.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1525446000:12,trend-ea-v1-EURJPY_HIST-1525446000,EURJPY_HIST,BREAKOUT,SELL,2018-05-04 16:00:00+00:00,2018-05-04 16:46:18+00:00,0.17,130.21,130.21,0.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1525752000:14,trend-ea-v1-EURJPY_HIST-1525752000,EURJPY_HIST,BREAKOUT,SELL,2018-05-08 05:00:00+00:00,2018-05-08 12:46:13+00:00,0.21,129.899,129.428,9891.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1527048000:16,trend-ea-v1-EURJPY_HIST-1527048000,EURJPY_HIST,BREAKOUT,SELL,2018-05-23 05:00:00+00:00,2018-05-23 10:30:50+00:00,0.12,129.976,129.189,9444.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1530547200:18,trend-ea-v1-EURJPY_HIST-1530547200,EURJPY_HIST,PULLBACK,SELL,2018-07-02 17:00:00+00:00,2018-07-02 23:10:31+00:00,0.11,128.637,128.962,-3575.0,0.0,0.0
trend-ea-v1-EURJPY_HIST-1531389600:20,trend-ea-v1-EURJPY_HIST-1531389600,EURJPY_HIST,BREAKOUT,BUY,2018-07-12 11:00:00+00:00,2018-07-13 11:20:00+00:00,0.15,131.274,131.027,-3680.0,0.0,25.0
trend-ea-v1-EURJPY_HIST-1531746000:22,trend-ea-v1-EURJPY_HIST-1531746000,EURJPY_HIST,BREAKOUT,BUY,2018-07-16 14:00:00+00:00,2018-07-16 19:13:39+00:00,0.18,131.635,131.433,-3636.0,0.0,0.0
