month,net_profit,number_of_trades,starting_balance,return_rate
2017-09,-7065.0,3,1000000.0,-0.007065
2017-11,-3850.0,1,992935.0,-0.0038773937871059033
2017-12,12971.0,3,989085.0,0.013114140847348812
2018-01,7371.0,5,1002056.0,0.007355876318289597
2018-02,-3877.0,2,1009427.0,-0.003840792845842245
2018-03,2283.0,3,1005550.0,0.002270399283973945
2018-05,-14489.0,4,1007833.0,-0.014376389739173058
2018-06,-4044.0,1,993344.0,-0.0040710972231170674
2018-07,-3631.0,3,989300.0,-0.003670271909430911
2018-08,-10898.0,3,985669.0,-0.011056449984731183
2018-10,-14599.0,4,974771.0,-0.014976850973202937
2018-11,-7111.0,2,960172.0,-0.007405964764646334
2018-12,-3434.0,1,953061.0,-0.0036031271870320997
2019-02,-3725.0,1,949627.0,-0.003922592765369982
2019-05,0.0,1,945902.0,0.0
2019-06,-3693.0,1,945902.0,-0.003904209949867957
2019-07,2285.0,3,942209.0,0.0024251519567314683
2019-09,77.0,1,944494.0,8.152513409296406e-05
2019-10,-3741.0,1,944571.0,-0.003960528112762302
2019-11,-7698.0,2,940830.0,-0.008182137049201238
