trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap
trend-ea-v1-EURUSD_HIST-1504846800:2,trend-ea-v1-EURUSD_HIST-1504846800,EURUSD_HIST,BREAKOUT,BUY,2017-09-08 06:00:00+00:00,2017-09-08 16:48:22+00:00,0.08,1.20717,1.20313,-3488.0,0.0,0.0
trend-ea-v1-EURUSD_HIST-1505487600:4,trend-ea-v1-EURUSD_HIST-1505487600,EURUSD_HIST,BREAKOUT,BUY,2017-09-15 16:00:00+00:00,2017-09-15 19:53:07+00:00,0.12,1.19742,1.19473,-3577.0,0.0,0.0
trend-ea-v1-EURUSD_HIST-1506052800:6,trend-ea-v1-EURUSD_HIST-1506052800,EURUSD_HIST,BREAKOUT,BUY,2017-09-22 05:00:00+00:00,2017-09-22 19:09:33+00:00,0.15,1.19545,1.19545,0.0,0.0,0.0
trend-ea-v1-EURUSD_HIST-1511794800:8,trend-ea-v1-EURUSD_HIST-1511794800,EURUSD_HIST,BREAKOUT,BUY,2017-11-27 16:00:00+00:00,2017-11-27 16:43:37+00:00,0.15,1.19592,1.19361,-3850.0,0.0,0.0
trend-ea-v1-EURUSD_HIST-1512961200:10,trend-ea-v1-EURUSD_HIST-1512961200,EURUSD_HIST,BREAKOUT,BUY,2017-12-11 04:00:00+00:00,2017-12-11 22:48:53+00:00,0.16,1.17771,1.1777,-18.0,0.0,0.0
trend-ea-v1-EURUSD_HIST-1513713600:12,trend-ea-v1-EURUSD_HIST-1513713600,EURUSD_HIST,BREAKOUT,BUY,2017-12-19 21:00:00+00:00,2017-12-21 19:00:00+00:00,0.13,1.18446,1.18712,3748.0,0.0,-174.0
trend-ea-v1-EURUSD_HIST-1514484000:14,trend-ea-v1-EURUSD_HIST-1514484000,EURUSD_HIST,BREAKOUT,BUY,2017-12-28 19:00:00+00:00,2017-12-29 15:16:29+00:00,0.19,1.19515,1.19953,9241.0,0.0,-127.0
trend-ea-v1-EURUSD_HIST-1515074400:2,trend-ea-v1-EURUSD_HIST-1515074400,EURUSD_HIST,BREAKOUT,BUY,2018-01-04 15:00:00+00:00,2018-01-05 10:19:24+00:00,0.17,1.20707,1.20516,-3789.0,0.0,-113.0
trend-ea-v1-EURUSD_HIST-1515787200:4,trend-ea-v1-EURUSD_HIST-1515787200,EURUSD_HIST,BREAKOUT,BUY,2018-01-12 21:00:00+00:00,2018-01-15 12:16:54+00:00,0.08,1.21626,1.22695,9405.0,0.0,-53.0
trend-ea-v1-EURUSD_HIST-1516755600:6,trend-ea-v1-EURUSD_HIST-1516755600,EURUSD_HIST,BREAKOUT,BUY,2018-01-24 02:00:00+00:00,2018-01-24 16:09:34+00:00,0.12,1.23095,1.23793,9164.0,0.0,0.0
