month,net_profit,number_of_trades,starting_balance,return_rate
2017-09,-3600.0,1,1000000.0,-0.0036
2017-10,2008.0,4,996400.0,0.0020152549177037335
2017-11,-3731.0,2,998408.0,-0.003736949223163276
2017-12,14277.0,3,994677.0,0.014353403165047547
2018-01,-1489.0,5,1008954.0,-0.0014757858138230286
2018-04,-3464.0,1,1007465.0,-0.003438332845309763
2018-06,-13728.0,5,1004001.0,-0.013673293154090485
2018-07,-1555.0,4,990273.0,-0.0015702740557401848
2018-08,8746.0,3,988718.0,0.008845798296379756
2018-09,-5461.0,3,997464.0,-0.005474884306601541
2018-10,7744.0,5,992003.0,0.007806428004754018
2018-11,-18626.0,6,999747.0,-0.018630713570533346
2018-12,390.0,1,981121.0,0.00039750448721411527
2019-01,-3392.0,1,981511.0,-0.003455896062295787
2019-02,-56.0,1,978119.0,-5.725274736509566e-05
2019-03,9396.0,1,978063.0,0.009606743123909196
2019-04,4885.0,3,987459.0,0.004947040839163955
2019-05,8145.0,6,992344.0,0.008207839217045702
2019-06,5991.0,2,1000489.0,0.005988071832873725
2019-07,9228.0,1,1006480.0,0.009168587552658772
2019-08,6112.0,2,1015708.0,0.0060174774639955575
2019-09,9439.0,1,1021820.0,0.009237439079289894
2019-11,2139.0,3,1031259.0,0.0020741637163893844
