trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap
trend-ea-v1-USDJPY_HIST-1504803600:2,trend-ea-v1-USDJPY_HIST-1504803600,USDJPY_HIST,BREAKOUT,SELL,2017-09-07 18:00:00+00:00,2017-09-07 19:15:27+00:00,0.17,108.412,108.412,0.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1505764800:4,trend-ea-v1-USDJPY_HIST-1505764800,USDJPY_HIST,BREAKOUT,BUY,2017-09-18 21:00:00+00:00,2017-09-18 21:39:33+00:00,0.18,111.618,111.411,-3726.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1506502800:6,trend-ea-v1-USDJPY_HIST-1506502800,USDJPY_HIST,BREAKOUT,BUY,2017-09-27 10:00:00+00:00,2017-09-27 15:42:41+00:00,0.19,112.647,113.152,9595.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1506542400:8,trend-ea-v1-USDJPY_HIST-1506542400,USDJPY_HIST,PULLBACK,BUY,2017-09-27 21:00:00+00:00,2017-09-28 19:50:32+00:00,0.1,112.811,112.435,-3659.0,0.0,101.0
trend-ea-v1-USDJPY_HIST-1506654000:10,trend-ea-v1-USDJPY_HIST-1506654000,USDJPY_HIST,PULLBACK,BUY,2017-09-29 04:00:00+00:00,2017-09-29 15:30:06+00:00,0.14,112.6,112.336,-3696.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1507809600:12,trend-ea-v1-USDJPY_HIST-1507809600,USDJPY_HIST,PULLBACK,BUY,2017-10-12 13:00:00+00:00,2017-10-12 14:17:04+00:00,0.25,112.417,112.253,-4100.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1508252400:14,trend-ea-v1-USDJPY_HIST-1508252400,USDJPY_HIST,BREAKOUT,BUY,2017-10-17 16:00:00+00:00,2017-10-17 17:44:56+00:00,0.2,112.449,112.268,-3620.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1508493600:16,trend-ea-v1-USDJPY_HIST-1508493600,USDJPY_HIST,BREAKOUT,BUY,2017-10-20 11:00:00+00:00,2017-10-20 14:41:46+00:00,0.14,113.329,113.067,-3668.0,0.0,0.0
trend-ea-v1-USDJPY_HIST-1508515200:18,trend-ea-v1-USDJPY_HIST-1508515200,USDJPY_HIST,BREAKOUT,BUY,2017-10-20 17:00:00+00:00,2017-10-23 22:40:50+00:00,0.13,113.487,113.487,131.0,0.0,131.0
trend-ea-v1-USDJPY_HIST-1511211600:20,trend-ea-v1-USDJPY_HIST-1511211600,USDJPY_HIST,BREAKOUT,BUY,2017-11-20 22:00:00+00:00,2017-11-21 04:00:00+00:00,0.17,112.682,112.632,-678.0,0.0,172.0
