symbol	month	scope	n	mean_price	med_pts	p90_pts	p99_pts	mean_pts	over_fixed	ratio_pts	over_ratio
US100_HIST	2020.04.01	all	51029	8950.88	12	17	34	14.03	0.0000	20.3	0.0791
US100_HIST	2020.04.01	hour	6	8955.50	12	15	15	13.33	0.0000	20.3	0.0000
US100_HIST	2020.05.01	all	2267079	9185.86	17	27	32	17.00	0.0000	20.9	0.3128
US100_HIST	2020.05.01	hour	479	9205.24	20	27	34	19.72	0.0021	20.9	0.4530
US100_HIST	2020.06.01	all	2515489	9874.93	17	24	31	13.56	0.0000	22.4	0.1099
US100_HIST	2020.06.01	hour	506	9881.55	19	25	32	16.45	0.0020	22.4	0.1581
US100_HIST	2020.07.01	all	2387761	10645.85	5	21	27	11.38	0.0000	24.2	0.0207
US100_HIST	2020.07.01	hour	525	10638.83	17	23	36	15.84	0.0000	24.2	0.0667
US100_HIST	2020.08.01	all	1809489	11381.73	5	19	24	9.41	0.0000	25.8	0.0062
US100_HIST	2020.08.01	hour	483	11376.03	17	22	34	14.74	0.0000	25.8	0.0331
US100_HIST	2020.09.01	all	3983883	11311.74	7	22	32	11.56	0.0001	25.7	0.0419
US100_HIST	2020.09.01	hour	503	11367.90	17	24	34	16.48	0.0000	25.7	0.0875
US100_HIST	2020.10.01	all	3128356	11600.07	5	22	27	10.87	0.0000	26.3	0.0142
US100_HIST	2020.10.01	hour	512	11627.20	17	22	32	15.27	0.0000	26.3	0.0449
US100_HIST	2020.11.01	all	2920143	11846.36	7	24	37	13.15	0.0002	26.9	0.0847
US100_HIST	2020.11.01	hour	477	11897.19	17	24	39	16.06	0.0000	26.9	0.0839
US100_HIST	2020.12.01	all	1668517	12569.04	5	19	22	8.71	0.0000	28.5	0.0010
US100_HIST	2020.12.01	hour	505	12610.44	17	19	27	14.05	0.0020	28.5	0.0079
US100_HIST	2021.01.01	all	2521771	13041.84	5	22	29	10.82	0.0001	29.6	0.0065
US100_HIST	2021.01.01	hour	460	13049.02	17	22	34	15.09	0.0000	29.6	0.0217
US100_HIST	2021.02.01	all	2671137	13326.39	5	22	29	10.90	0.0000	30.3	0.0060
US100_HIST	2021.02.01	hour	458	13496.36	17	22	32	14.93	0.0000	30.3	0.0153
US100_HIST	2021.03.01	all	4825776	12861.06	5	19	27	11.49	0.0000	29.2	0.0032
US100_HIST	2021.03.01	hour	529	12907.55	17	22	34	15.33	0.0019	29.2	0.0246
US100_HIST	2021.04.01	all	2041855	13808.60	5	19	22	9.46	0.0001	31.3	0.0007
US100_HIST	2021.04.01	hour	499	13801.22	17	19	29	14.17	0.0000	31.3	0.0060
US100_HIST	2021.05.01	all	2708790	13398.02	5	19	22	10.69	0.0001	30.4	0.0011
US100_HIST	2021.05.01	hour	480	13489.45	17	19	27	14.40	0.0000	30.4	0.0042
US100_HIST	2021.06.01	all	1440454	14015.35	5	17	19	8.28	0.0000	31.8	0.0004
US100_HIST	2021.06.01	hour	506	14041.51	17	17	27	13.92	0.0000	31.8	0.0020
US100_HIST	2021.07.01	all	1572594	14828.07	5	17	19	9.32	0.0000	33.7	0.0004
US100_HIST	2021.07.01	hour	502	14828.35	17	17	27	13.91	0.0000	33.7	0.0020
US100_HIST	2021.08.01	all	1345127	15108.42	5	17	19	6.80	0.0000	34.3	0.0001
US100_HIST	2021.08.01	hour	506	15152.85	17	17	22	13.53	0.0000	34.3	0.0000
US100_HIST	2021.09.01	all	1977169	15218.82	5	17	22	8.56	0.0000	34.5	0.0002
US100_HIST	2021.09.01	hour	502	15370.31	17	17	22	13.76	0.0000	34.5	0.0000
US100_HIST	2021.10.01	all	2389866	14970.05	5	19	22	10.50	0.0000	34.0	0.0003
US100_HIST	2021.10.01	hour	483	15101.80	17	19	24	13.88	0.0000	34.0	0.0000
US100_HIST	2021.11.01	all	2511692	16249.39	5	19	24	9.48	0.0000	36.9	0.0003
US100_HIST	2021.11.01	hour	499	16246.11	17	19	32	14.18	0.0000	36.9	0.0020
US100_HIST	2021.12.01	all	3696349	16048.40	5	19	24	10.23	0.0000	36.4	0.0003
US100_HIST	2021.12.01	hour	506	16149.05	17	20	27	14.70	0.0000	36.4	0.0020
US100_HIST	2022.01.01	all	5540188	15035.20	10	22	29	12.61	0.0000	34.1	0.0013
US100_HIST	2022.01.01	hour	479	15275.56	17	24	34	15.92	0.0000	34.1	0.0063
US100_HIST	2022.02.01	all	5789319	14313.99	17	22	29	13.05	0.0000	32.5	0.0039
US100_HIST	2022.02.01	hour	456	14400.98	19	24	34	16.44	0.0044	32.5	0.0132
US100_HIST	2022.03.01	all	6178476	14040.12	10	22	29	12.92	0.0000	31.9	0.0075
US100_HIST	2022.03.01	hour	529	14115.19	19	24	34	16.67	0.0038	31.9	0.0340
US100_HIST	2022.04.01	all	5046095	13903.86	7	19	24	11.55	0.0000	31.6	0.0009
US100_HIST	2022.04.01	hour	460	14050.41	17	22	32	14.93	0.0000	31.6	0.0130
US100_HIST	2022.05.01	all	6691354	12364.66	7	22	27	12.12	0.0000	28.1	0.0049
US100_HIST	2022.05.01	hour	503	12396.51	19	22	32	15.94	0.0000	28.1	0.0239
US100_HIST	2022.06.01	all	4572583	11952.60	10	22	27	12.48	0.0001	27.1	0.0075
US100_HIST	2022.06.01	hour	503	11938.69	17	22	32	15.75	0.0000	27.1	0.0258
US100_HIST	2022.07.01	all	2916469	12020.69	17	22	24	12.42	0.0002	27.3	0.0039
US100_HIST	2022.07.01	hour	480	12058.85	17	22	29	15.31	0.0000	27.3	0.0146
US100_HIST	2022.08.01	all	2664399	13055.68	5	19	22	11.32	0.0001	29.6	0.0015
US100_HIST	2022.08.01	hour	529	13103.20	17	19	29	14.90	0.0019	29.6	0.0076
US100_HIST	2022.09.01	all	3226449	11785.49	7	19	24	11.56	0.0002	26.8	0.0045
US100_HIST	2022.09.01	hour	503	11883.73	17	22	32	14.98	0.0000	26.8	0.0318
US100_HIST	2022.10.01	all	3553538	11170.72	17	19	24	12.54	0.0002	25.4	0.0073
US100_HIST	2022.10.01	hour	483	11188.95	17	22	32	14.93	0.0000	25.4	0.0248
US100_HIST	2022.11.01	all	2509746	11406.30	5	19	22	11.30	0.0002	25.9	0.0040
US100_HIST	2022.11.01	hour	500	11457.07	17	19	27	14.77	0.0000	25.9	0.0160
US100_HIST	2022.12.01	all	1994823	11399.97	5	19	22	9.62	0.0005	25.9	0.0063
US100_HIST	2022.12.01	hour	483	11402.12	17	19	32	14.65	0.0021	25.9	0.0207
US100_HIST	2023.01.01	all	1826995	11408.24	5	19	24	9.65	0.0003	25.9	0.0069
US100_HIST	2023.01.01	hour	480	11442.87	17	19	32	14.50	0.0000	25.9	0.0167
US100_HIST	2023.02.01	all	1917232	12381.91	5	19	24	9.43	0.0002	28.1	0.0051
US100_HIST	2023.02.01	hour	457	12360.01	17	19	25	14.51	0.0000	28.1	0.0088
US100_HIST	2023.03.01	all	2655221	12338.73	5	22	29	11.22	0.0003	28.0	0.0140
US100_HIST	2023.03.01	hour	529	12405.68	17	22	32	14.81	0.0000	28.0	0.0170
US100_HIST	2023.04.01	all	1108015	13013.39	5	17	22	7.71	0.0001	29.5	0.0017
US100_HIST	2023.04.01	hour	453	13023.33	17	19	27	14.17	0.0000	29.5	0.0044
US100_HIST	2023.05.01	all	1296078	13567.54	5	17	22	7.37	0.0001	30.8	0.0015
US100_HIST	2023.05.01	hour	525	13570.15	17	19	29	14.11	0.0000	30.8	0.0095
US100_HIST	2023.06.01	all	1597240	14803.47	5	17	22	8.16	0.0001	33.6	0.0007
US100_HIST	2023.06.01	hour	502	14797.29	17	19	29	14.49	0.0000	33.6	0.0100
US100_HIST	2023.07.01	all	1278867	15470.05	5	17	22	7.64	0.0001	35.1	0.0006
US100_HIST	2023.07.01	hour	476	15429.81	17	19	22	14.03	0.0000	35.1	0.0021
US100_HIST	2023.08.01	all	2025901	15144.65	5	19	22	8.75	0.0001	34.4	0.0009
US100_HIST	2023.08.01	hour	529	15171.37	17	19	24	14.23	0.0019	34.4	0.0019
US100_HIST	2023.09.01	all	1490000	15090.61	5	17	19	8.17	0.0000	34.3	0.0004
US100_HIST	2023.09.01	hour	478	15149.25	17	19	29	14.29	0.0000	34.3	0.0042
US100_HIST	2023.10.01	all	2037837	14741.96	5	17	22	8.27	0.0001	33.5	0.0014
US100_HIST	2023.10.01	hour	506	14781.55	17	19	27	14.34	0.0000	33.5	0.0059
US100_HIST	2023.11.01	all	1158386	15520.37	5	17	22	6.89	0.0001	35.2	0.0009
US100_HIST	2023.11.01	hour	499	15573.40	17	17	24	13.96	0.0000	35.2	0.0000
US100_HIST	2023.12.01	all	1083329	16395.12	5	17	22	6.92	0.0003	37.2	0.0009
US100_HIST	2023.12.01	hour	460	16443.30	17	17	24	13.86	0.0000	37.2	0.0043
US100_HIST	2024.01.01	all	4484054	17041.29	7	22	24	11.11	0.0001	38.7	0.0003
US100_HIST	2024.01.01	hour	502	16963.82	17	22	29	15.79	0.0020	38.7	0.0040
