trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-EURJPY_HIST-1642395600:2,trend-ea-v1-EURJPY_HIST-1642395600,EURJPY_HIST,BREAKOUT,BUY,2022-01-17 06:00:00+00:00,2022-01-18 04:00:00+00:00,0.16,130.659,130.716,939.0,0.0,27.0,0.1467142857,41.1034499392,4.0,TrendDown,NormalVolatility,2.0,5000.0,2656.0,-2384.0,2022-01-17 19:59:30+00:00,-357.0,EXPERT,4.0,16.0,,,,,,,,,,,,22.0,Mon,Tokyo,Tue,Tokyo,0.1878,0.5312,-0.4768,False,0.646460843373494,13.991666666666667,8.008333333333333,-0.6026,False,False,False,False,False,ATR_0.146-0.226,ADX_40.36-41.39,HOLD_H_12.56-66,MFE_1187-3651,MAE_-3016--820,GIVEBACK_0.459-3.603
trend-ea-v1-EURJPY_HIST-1646614800:4,trend-ea-v1-EURJPY_HIST-1646614800,EURJPY_HIST,BREAKOUT,SELL,2022-03-07 02:00:00+00:00,2022-03-07 14:33:48+00:00,0.06,124.991,125.559,-3408.0,0.0,0.0,0.3763571429,51.7256767274,9.0,TrendDown,HighVolatility,2.0,5004.695,3570.0,-3408.0,2022-03-07 12:34:55+00:00,-3408.0,EXPERT,8.0,6.0,,,,,,,,,EarlyAdverseConfirmed,0.7553191489,5.0,12.563333333333333,Mon,Tokyo,Mon,London_NewYork_Overlap,-0.6809605780172419,0.7133301829582023,-0.6809605780172419,True,1.9546218487394957,10.581944444444444,1.9813888888888889,-1.3942907609754442,False,False,False,False,True,ATR_0.281-0.614,ADX_44.52-56.15,HOLD_H_12.56-66,MFE_1187-3651,MAE_-3591--3016,GIVEBACK_0.459-3.603
trend-ea-v1-EURJPY_HIST-1654074000:6,trend-ea-v1-EURJPY_HIST-1654074000,EURJPY_HIST,BREAKOUT,BUY,2022-06-01 10:00:00+00:00,2022-06-01 16:49:02+00:00,0.11,138.762,138.426,-3696.0,0.0,0.0,0.2177142857,56.1462378218,10.0,TrendUp,NormalVolatility,2.0,4987.655,2310.0,-3718.0,2022-06-01 10:10:50+00:00,-3718.0,EXPERT,9.0,11.0,,,,,,,,,EarlyAdverseConfirmed,0.7550561798,5.0,6.817222222222222,Wed,London,Wed,London_NewYork_Overlap,-0.7410296020875542,0.46314350130472137,-0.7454404925761706,True,2.6,0.18055555555555555,6.636666666666667,-1.208583993880892,False,False,False,False,True,ATR_0.146-0.226,ADX_44.52-56.15,HOLD_H_3.082-12.56,MFE_1187-3651,MAE_-6225--3591,GIVEBACK_0.459-3.603
trend-ea-v1-EURJPY_HIST-1654567200:8,trend-ea-v1-EURJPY_HIST-1654567200,EURJPY_HIST,BREAKOUT,BUY,2022-06-07 03:00:00+00:00,2022-06-08 03:01:03+00:00,0.11,141.304,142.155,9380.0,0.0,19.0,0.2162142857,50.0657477329,14.0,TrendUp,NormalVolatility,2.0,4969.175,9358.0,-1287.0,2022-06-08 03:01:03+00:00,9358.0,TP,12.0,11.0,,,,,,,,,,,,24.0175,Tue,Tokyo,Wed,Tokyo,1.8876372838549658,1.8832099895857963,-0.2589967147464116,False,-0.0023509296858303056,24.0175,0.0,0.0,False,False,False,False,False,ATR_0.146-0.226,ADX_44.52-56.15,HOLD_H_12.56-66,MFE_3651-9819,MAE_-3016--820,GIVEBACK_-0.00542-0.459
trend-ea-v1-EURJPY_HIST-1654678800:10,trend-ea-v1-EURJPY_HIST-1654678800,EURJPY_HIST,BREAKOUT,BUY,2022-06-08 10:00:00+00:00,2022-06-08 13:04:57+00:00,0.1,142.479,143.389,9100.0,0.0,0.0,0.2297857143,40.3572830134,9.0,TrendUp,NormalVolatility,2.0,5016.075,9060.0,-1100.0,2022-06-08 13:04:57+00:00,9060.0,TP,4.0,10.0,,,,,,,,,,,,3.0825,Wed,London,Wed,London_NewYork_Overlap,1.814167451642968,1.8061930892181637,-0.219294966682117,False,-0.004415011037527594,3.0825,0.0,0.0,False,False,False,False,False,ATR_0.226-0.281,ADX_40.36-41.39,HOLD_H_3.082-12.56,MFE_3651-9819,MAE_-3016--820,GIVEBACK_-0.00542-0.459
trend-ea-v1-EURJPY_HIST-1655467200:12,trend-ea-v1-EURJPY_HIST-1655467200,EURJPY_HIST,BREAKOUT,BUY,2022-06-17 13:00:00+00:00,2022-06-20 07:00:00+00:00,0.04,141.766,141.971,827.0,0.0,7.0,0.6140714286,45.4070415447,12.0,TrendUp,NormalVolatility,2.0,5061.575,1187.0,-3016.0,2022-06-20 03:02:00+00:00,-1317.0,EXPERT,10.0,4.0,MAX_HOLDING_BARS_MIN_MFE_NOT_REACHED,,,,,,,,,,,66.0,Fri,London_NewYork_Overlap,Mon,Tokyo,0.1633878782789942,0.23451198490588404,-0.595861959963055,False,0.3032855939342881,62.03333333333333,3.966666666666667,-0.49470767498258944,False,True,False,False,False,ATR_0.281-0.614,ADX_44.52-56.15,HOLD_H_12.56-66,MFE_1187-3651,MAE_-3016--820,GIVEBACK_-0.00542-0.459
trend-ea-v1-EURJPY_HIST-1656352800:14,trend-ea-v1-EURJPY_HIST-1656352800,EURJPY_HIST,BREAKOUT,BUY,2022-06-27 19:00:00+00:00,2022-06-28 04:55:20+00:00,0.08,143.424,142.993,-3434.0,0.0,14.0,0.2806428571,51.7553485701,10.0,TrendUp,NormalVolatility,2.0,5065.71,344.0,-3434.0,2022-06-27 21:39:19+00:00,-3434.0,EXPERT,13.0,8.0,,,,,,,,,EarlyAdverseConfirmed,0.7534965035,5.0,9.922222222222222,Mon,NewYork,Tue,Tokyo,-0.6778911544482412,0.06790755886144291,-0.6778911544482412,True,10.982558139534884,2.6552777777777776,7.266944444444444,-0.7457987133096842,False,False,False,False,True,ATR_0.226-0.281,ADX_44.52-56.15,HOLD_H_3.082-12.56,MFE_35-1187,MAE_-3591--3016,GIVEBACK_3.603-98.6
trend-ea-v1-EURJPY_HIST-1656417600:16,trend-ea-v1-EURJPY_HIST-1656417600,EURJPY_HIST,BREAKOUT,BUY,2022-06-28 13:00:00+00:00,2022-06-28 15:12:05+00:00,0.09,143.928,143.529,-3591.0,0.0,0.0,0.2611428571,42.0088329285,10.0,TrendUp,NormalVolatility,2.0,5048.54,3114.0,-3591.0,2022-06-28 14:23:41+00:00,-3591.0,EXPERT,7.0,9.0,,,,,,,,,EarlyAdverseConfirmed,0.7514124294,5.0,2.201388888888889,Tue,London_NewYork_Overlap,Tue,London_NewYork_Overlap,-0.7112947505615485,0.6168119892087613,-0.7112947505615485,True,2.153179190751445,1.3947222222222222,0.8066666666666666,-1.32810673977031,False,False,False,False,True,ATR_0.226-0.281,ADX_41.39-44.52,HOLD_H_0.177-3.082,MFE_1187-3651,MAE_-6225--3591,GIVEBACK_0.459-3.603
trend-ea-v1-EURJPY_HIST-1658415600:18,trend-ea-v1-EURJPY_HIST-1658415600,EURJPY_HIST,BREAKOUT,BUY,2022-07-21 16:00:00+00:00,2022-07-21 16:10:39+00:00,0.07,142.074,141.532,-3794.0,0.0,0.0,0.3537857143,44.5150404934,4.0,TrendUp,NormalVolatility,2.0,5030.585,665.0,-3794.0,2022-07-21 16:01:28+00:00,-3794.0,EXPERT,15.0,7.0,,,,,,,,,EarlyAdverseConfirmed,0.758041958,5.0,0.1775,Thu,London_NewYork_Overlap,Thu,London_NewYork_Overlap,-0.7541866403211555,0.1321913852961435,-0.7541866403211555,True,6.705263157894737,0.024444444444444446,0.15305555555555556,-0.886378025617299,False,False,False,False,True,ATR_0.281-0.614,ADX_44.52-56.15,HOLD_H_0.177-3.082,MFE_35-1187,MAE_-6225--3591,GIVEBACK_3.603-98.6
trend-ea-v1-EURJPY_HIST-1659405600:20,trend-ea-v1-EURJPY_HIST-1659405600,EURJPY_HIST,BREAKOUT,SELL,2022-08-02 03:00:00+00:00,2022-08-02 10:32:17+00:00,0.09,134.851,133.759,9828.0,0.0,0.0,0.2735,40.7371417533,20.0,TrendDown,NormalVolatility,2.0,5011.615,9819.0,-1521.0,2022-08-02 10:32:17+00:00,9819.0,TP,4.0,9.0,,,,,,,,,,,,7.538055555555555,Tue,Tokyo,Tue,London,1.9610444936412714,1.959248665350391,-0.3034949811587682,False,-0.0009165902841429881,7.538055555555555,0.0,0.0,False,False,False,False,False,ATR_0.226-0.281,ADX_40.36-41.39,HOLD_H_3.082-12.56,MFE_3651-9819,MAE_-3016--820,GIVEBACK_-0.00542-0.459
trend-ea-v1-EURJPY_HIST-1662120000:22,trend-ea-v1-EURJPY_HIST-1662120000,EURJPY_HIST,BREAKOUT,BUY,2022-09-02 13:00:00+00:00,2022-09-02 16:42:45+00:00,0.12,140.443,140.138,-3660.0,0.0,0.0,0.1996428571,41.7819252995,6.0,TrendUp,NormalVolatility,2.0,5060.755,3684.0,-3660.0,2022-09-02 15:52:36+00:00,-3660.0,EXPERT,8.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7530864198,5.0,3.7125,Fri,London_NewYork_Overlap,Fri,London_NewYork_Overlap,-0.7232122479748575,0.7279546233714139,-0.7232122479748575,True,1.993485342019544,2.8766666666666665,0.8358333333333333,-1.4511668713462713,False,False,False,False,True,ATR_0.146-0.226,ADX_41.39-44.52,HOLD_H_3.082-12.56,MFE_3651-9819,MAE_-6225--3591,GIVEBACK_0.459-3.603
