trade_id,trade_candidate_id,symbol,strategy,direction,open_time,close_time,volume,open_price,close_price,net_pnl,commission,swap,entry_atr,entry_adx,entry_spread_points,market_regime_trend,market_regime_volatility,candidate_risk_reward_ratio,risk_budget,mfe,mae,mfe_time,post_peak_mae,close_reason,exit_spread_points,point_value,time_stop_reason_code,range_exit_reason_code,trend_reversal_reason_code,trend_reversal_trend_direction,trend_reversal_peak_price,trend_reversal_peak_mfe_r_multiple,trend_reversal_retracement_r_multiple,trend_reversal_confirmation_count,early_adverse_exit_reason_code,early_adverse_exit_adverse_r_multiple,early_adverse_exit_confirmation_count,hold_time_hours,weekday,session,close_weekday,close_session,r_multiple,mfe_r,mae_r,reached_unrealized_profit_before_loss,giveback_ratio,time_to_peak_hours,peak_to_close_hours,post_peak_mae_r,reached_tp_equivalent_r,time_stop_triggered,range_exit_triggered,trend_reversal_triggered,early_adverse_exit_triggered,atr_band,adx_band,hold_time_band,mfe_band,mae_band,giveback_band
trend-ea-v1-GBPJPY_HIST-1705327200:2,trend-ea-v1-GBPJPY_HIST-1705327200,GBPJPY_HIST,BREAKOUT,BUY,2024-01-15 15:00:00+00:00,2024-01-16 02:06:11+00:00,0.12,185.589,185.269,-3757.0,0.0,83.0,0.1989285714,63.062891124,14.0,TrendUp,LowVolatility,2.0,5000.0,1608.0,-3757.0,2024-01-15 18:27:21+00:00,-3757.0,EXPERT,14.0,12.0,,,,,,,,,EarlyAdverseConfirmed,0.7748184019,5.0,11.103055555555555,Mon,London_NewYork_Overlap,Tue,Tokyo,-0.7514,0.3216,-0.7514,True,3.336442786069652,3.4558333333333335,7.647222222222222,-1.073,False,False,False,False,True,ATR_0.129-0.212,ADX_43.01-63.06,HOLD_H_11.1-92.63,MFE_-126-2196,MAE_-4420--3564,GIVEBACK_0.994-3.358
trend-ea-v1-GBPJPY_HIST-1705647600:4,trend-ea-v1-GBPJPY_HIST-1705647600,GBPJPY_HIST,BREAKOUT,BUY,2024-01-19 08:00:00+00:00,2024-01-19 09:00:01+00:00,0.1,188.779,188.284,-4950.0,0.0,0.0,0.2292857143,40.6203164705,16.0,TrendUp,NormalVolatility,2.0,4981.215,1510.0,-4420.0,2024-01-19 08:24:37+00:00,-4420.0,SL,112.0,10.0,,,,,,,,,,,,1.0002777777777778,Fri,London,Fri,London,-0.9937334565964328,0.30313889282032597,-0.8873337127588349,True,4.2781456953642385,0.4102777777777778,0.59,-1.1904726055791608,False,False,False,False,False,ATR_0.212-0.297,ADX_40.02-41.68,HOLD_H_0.616-5.5,MFE_-126-2196,MAE_-4420--3564,GIVEBACK_3.358-24.7
trend-ea-v1-GBPJPY_HIST-1706886000:6,trend-ea-v1-GBPJPY_HIST-1706886000,GBPJPY_HIST,BREAKOUT,BUY,2024-02-02 16:00:00+00:00,2024-02-02 16:37:01+00:00,0.09,187.502,187.1,-3618.0,0.0,0.0,0.2579285714,40.4478945772,11.0,TrendUp,NormalVolatility,2.0,4956.465,-126.0,-3618.0,2024-02-02 16:00:00+00:00,-3618.0,EXPERT,9.0,9.0,,,,,,,,,EarlyAdverseConfirmed,0.7613636364,5.0,0.6169444444444444,Fri,London_NewYork_Overlap,Fri,London_NewYork_Overlap,-0.7299557244931619,-0.02542134363906534,-0.7299557244931619,False,,0.0,0.6169444444444444,-0.7045343808540966,False,False,False,False,True,ATR_0.212-0.297,ADX_40.02-41.68,HOLD_H_0.616-5.5,MFE_-126-2196,MAE_-4420--3564,
trend-ea-v1-GBPJPY_HIST-1706893200:8,trend-ea-v1-GBPJPY_HIST-1706893200,GBPJPY_HIST,BREAKOUT,BUY,2024-02-02 18:00:00+00:00,2024-02-02 20:34:41+00:00,0.07,187.676,187.196,-3360.0,0.0,0.0,0.3089285714,41.3873112293,12.0,TrendUp,NormalVolatility,2.0,4938.375,280.0,-3360.0,2024-02-02 18:00:38+00:00,-3360.0,EXPERT,9.0,7.0,,,,,,,,,EarlyAdverseConfirmed,0.7631160572,5.0,2.5780555555555558,Fri,NewYork,Fri,NewYork,-0.6803857544232668,0.056698812868605564,-0.6803857544232668,True,13.0,0.010555555555555556,2.5675,-0.7370845672918723,False,False,False,False,True,ATR_0.297-0.546,ADX_40.02-41.68,HOLD_H_0.616-5.5,MFE_-126-2196,MAE_-3564--1464,GIVEBACK_3.358-24.7
trend-ea-v1-GBPJPY_HIST-1707375600:10,trend-ea-v1-GBPJPY_HIST-1707375600,GBPJPY_HIST,BREAKOUT,BUY,2024-02-08 08:00:00+00:00,2024-02-08 18:16:32+00:00,0.12,187.683,188.394,8532.0,0.0,0.0,0.1821428571,41.6160744974,15.0,TrendUp,NormalVolatility,2.0,4921.575,8520.0,-324.0,2024-02-08 18:16:30+00:00,8460.0,TP,12.0,12.0,,,,,,,,,,,,10.275555555555556,Thu,London,Thu,NewYork,1.733591380807973,1.7311531369531097,-0.06583258408131544,False,-0.0014084507042253522,10.275,0.0005555555555555556,-0.012191219274317672,False,False,False,False,False,ATR_0.129-0.212,ADX_40.02-41.68,HOLD_H_5.5-11.1,MFE_6623-9665,MAE_-1464--240,GIVEBACK_-0.0303-0.994
trend-ea-v1-GBPJPY_HIST-1708563600:12,trend-ea-v1-GBPJPY_HIST-1708563600,GBPJPY_HIST,BREAKOUT,BUY,2024-02-22 02:00:00+00:00,2024-02-22 10:23:27+00:00,0.12,190.019,190.745,8712.0,0.0,0.0,0.1862857143,44.1529033773,20.0,TrendUp,NormalVolatility,2.0,4964.235,8640.0,-1464.0,2024-02-22 10:23:22+00:00,8604.0,TP,16.0,12.0,,,,,,,,,,,,8.390833333333333,Thu,Tokyo,Thu,London,1.7549531800972356,1.7404494348071757,-0.29490948756454927,False,-0.008333333333333333,8.389444444444445,0.001388888888888889,-0.0072518726450299,False,False,False,False,False,ATR_0.129-0.212,ADX_43.01-63.06,HOLD_H_5.5-11.1,MFE_6623-9665,MAE_-1464--240,GIVEBACK_-0.0303-0.994
trend-ea-v1-GBPJPY_HIST-1709287200:14,trend-ea-v1-GBPJPY_HIST-1709287200,GBPJPY_HIST,BREAKOUT,BUY,2024-03-01 11:00:00+00:00,2024-03-01 12:14:09+00:00,0.11,190.29,189.969,-3531.0,0.0,0.0,0.2055,40.3017462338,13.0,TrendUp,NormalVolatility,2.0,5007.795,352.0,-3564.0,2024-03-01 11:04:38+00:00,-3564.0,EXPERT,15.0,11.0,,,,,,,,,EarlyAdverseConfirmed,0.75,5.0,1.2358333333333333,Fri,London,Fri,London,-0.7051007479339709,0.07029041723952358,-0.7116904745501763,True,11.03125,0.07722222222222222,1.158611111111111,-0.7819808917896999,False,False,False,False,True,ATR_0.129-0.212,ADX_40.02-41.68,HOLD_H_0.616-5.5,MFE_-126-2196,MAE_-4420--3564,GIVEBACK_3.358-24.7
trend-ea-v1-GBPJPY_HIST-1709553600:16,trend-ea-v1-GBPJPY_HIST-1709553600,GBPJPY_HIST,BREAKOUT,BUY,2024-03-04 13:00:00+00:00,2024-03-05 09:42:01+00:00,0.11,190.666,190.666,76.0,0.0,76.0,0.2121428571,40.3205672728,15.0,TrendUp,NormalVolatility,2.0,4990.14,5731.0,-880.0,2024-03-04 18:08:54+00:00,87.0,SL,11.0,11.0,,,,,,,,,,,,20.700277777777778,Mon,London_NewYork_Overlap,Tue,London,0.015230033626311085,1.1484647725314319,-0.17634775777833886,False,0.986738789042052,5.148333333333333,15.551944444444445,-1.1310303919328917,False,False,False,False,False,ATR_0.129-0.212,ADX_40.02-41.68,HOLD_H_11.1-92.63,MFE_2196-6623,MAE_-1464--240,GIVEBACK_-0.0303-0.994
trend-ea-v1-GBPJPY_HIST-1710864000:18,trend-ea-v1-GBPJPY_HIST-1710864000,GBPJPY_HIST,BREAKOUT,BUY,2024-03-19 17:00:00+00:00,2024-03-20 09:30:43+00:00,0.06,191.344,192.82,8897.0,0.0,41.0,0.3723571429,43.8750023615,14.0,TrendUp,HighVolatility,2.0,4990.52,8879.0,-240.0,2024-03-20 09:30:41+00:00,8879.0,TP,12.0,6.0,,,,,,,,,,,,16.511944444444445,Tue,NewYork,Wed,London,1.7827801511666117,1.7791733126006908,-0.048091180878946475,False,-0.002027255321545219,16.511388888888888,0.0005555555555555556,0.0,False,False,False,False,False,ATR_0.297-0.546,ADX_43.01-63.06,HOLD_H_11.1-92.63,MFE_6623-9665,MAE_-1464--240,GIVEBACK_-0.0303-0.994
trend-ea-v1-GBPJPY_HIST-1711386000:20,trend-ea-v1-GBPJPY_HIST-1711386000,GBPJPY_HIST,BREAKOUT,BUY,2024-03-25 18:00:00+00:00,2024-03-26 16:00:00+00:00,0.1,191.43,191.432,89.0,0.0,69.0,0.226,42.8493063703,12.0,TrendUp,NormalVolatility,2.0,5035.005,2539.0,-2451.0,2024-03-26 13:18:00+00:00,-351.0,EXPERT,15.0,10.0,,,,,,,,,,,,22.0,Mon,NewYork,Tue,London_NewYork_Overlap,0.017676248583665757,0.5042696084710938,-0.48679196942207603,False,0.9649468294604174,19.3,2.7,-0.5739815551325173,False,False,False,False,False,ATR_0.212-0.297,ADX_41.68-43.01,HOLD_H_11.1-92.63,MFE_2196-6623,MAE_-3564--1464,GIVEBACK_-0.0303-0.994
